trans_id,lang,translation,category,station_sid,course_sid
大学会館前,ja,大学会館前,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
大学会館前,ja-Hrkt,だいがくかいかんまえ,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
大学会館前,en,Daigaku Kaikan-mae,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
大学会館前,ko,다이가쿠 카이칸 마에,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
大学会館前,zh-cn,大学会馆前,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
大学会館前,zh-tw,大學會館前,stop_name,3d44dec8-546b-4e28-90cb-e6104c2d78cb,
ががら口,ja,ががら口,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
ががら口,ja-Hrkt,ががらぐち,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
ががら口,en,Gagara-guchi,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
ががら口,ko,가가라 구치,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
ががら口,zh-cn,GAGARA口,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
ががら口,zh-tw,GAGARA口,stop_name,3bb5256e-eb2c-4fdc-96d1-f5e6772570b8,
広島バスセンター,ja,広島バスセンター,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
広島バスセンター,ja-Hrkt,ひろしまばすせんたー,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
広島バスセンター,en,Hiroshima Bus Center,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
広島バスセンター,ko,히로시마 버스센터,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
広島バスセンター,zh-cn,广岛巴士中心,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
広島バスセンター,zh-tw,廣島公車中心,stop_name,2a1cdbb0-0e6e-45d2-ac6e-8a7f6c53354b,
八丁堀,ja,八丁堀,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
八丁堀,ja-Hrkt,はっちょうぼり,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
八丁堀,en,Hatchobori,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
八丁堀,ko,핫초보리,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
八丁堀,zh-cn,八丁堀,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
八丁堀,zh-tw,八丁堀,stop_name,39a64bf4-2129-4163-8d20-0d4118ad7f7b,
広島駅,ja,広島駅,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
広島駅,ja-Hrkt,ひろしまえき,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
広島駅,en,Hiroshima Sta.,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
広島駅,ko,히로시마 역,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
広島駅,zh-cn,广岛站,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
広島駅,zh-tw,廣島站,stop_name,66319221-a442-4b64-bc63-0d8028c1498e,
荒神町,ja,荒神町,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
荒神町,ja-Hrkt,こうじんまち,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
荒神町,en,Kojinmachi,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
荒神町,ko,고진마치,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
荒神町,zh-cn,荒神町,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
荒神町,zh-tw,荒神町,stop_name,342b294e-a678-461e-b0b8-32c692e2567c,
西蟹屋,ja,西蟹屋,stop_name,f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,
西蟹屋,ja-Hrkt,にしかにや,stop_name,f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,
西蟹屋,en,Nishi-kaniya,stop_name,f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,
