region_id,region_nm,ward_nm,population,households,area_km2,pop_density
341010430,白島北町,広島市中区,1969,1160,0.2759512262193427,7135.318900286095
341010440,白島中町,広島市中区,1210,660,0.09538311839032726,12685.682963817897
341010450,白島九軒町,広島市中区,1408,797,0.16242062227984275,8668.84992950024
341010460,東白島町,広島市中区,3918,2217,0.21476821706041668,18242.922782647227
341010470,西白島町,広島市中区,2983,1876,0.26378980046541195,11308.24616697464
341010480,幟町,広島市中区,1753,1168,0.11767090669337898,14897.480178068829
341010490,上幟町,広島市中区,2625,1441,0.22679563950469794,11574.29660346545
341010500,鉄砲町,広島市中区,645,459,0.059613433189559556,10819.709006676747
341010510,八丁堀,広島市中区,653,474,0.09819830233037273,6649.809462113553
341010520,上八丁堀,広島市中区,1676,830,0.187195534408192,8953.205028627302
341010530,橋本町,広島市中区,1203,720,0.06716930604004204,17909.966187276797
341010540,基町,広島市中区,4104,2442,0.9789252622035981,4192.352734632406
341010550,銀山町,広島市中区,837,588,0.07729111150931414,10829.188294169317
341010560,弥生町,広島市中区,168,111,0.014515465619056069,11573.862279653482
341010570,胡町,広島市中区,29,12,0.0491925366902493,589.5203205844889
341010580,薬研堀,広島市中区,54,42,0.029248985374786804,1846.2178878365146
341010590,田中町,広島市中区,440,272,0.037637500932910926,11690.46799319388
341010600,三川町,広島市中区,445,325,0.06287674168794015,7077.33874329165
341010610,立町,広島市中区,28,22,0.030724073798222288,911.337480305756
341010620,袋町,広島市中区,482,300,0.08060957597016276,5979.438474883058
341010630,中町,広島市中区,1052,633,0.09028547966490919,11651.92901344108
34101064001,紙屋町一丁目,広島市中区,43,22,0.032535785361408734,1321.6217012238794
34101064002,紙屋町二丁目,広島市中区,28,12,0.02707858339855986,1034.0275038719028
34101065001,大手町一丁目,広島市中区,379,222,0.07128462529518614,5316.714486897835
34101065002,大手町二丁目,広島市中区,523,390,0.078871333454671,6631.053097391577
34101065003,大手町三丁目,広島市中区,1793,1192,0.13170241079750453,13614.025659384311
34101065004,大手町四丁目,広島市中区,750,545,0.07948331213816208,9435.942964937225
34101065005,大手町五丁目,広島市中区,2455,1615,0.14166825545824127,17329.217417543805
341010660,鶴見町,広島市中区,2335,1404,0.12978519186741846,17991.266695397037
341010670,昭和町,広島市中区,1855,1168,0.0914532645026039,20283.58429946679
341010680,宝町,広島市中区,1923,1324,0.089486911857015,21489.176015735462
341010690,富士見町,広島市中区,1984,1442,0.1101523384518169,18011.419710965518
341010700,竹屋町,広島市中区,1244,879,0.06619978215760626,18791.602622472772
341010710,小町,広島市中区,1688,1064,0.1051896851804671,16047.200798291278
34101072001,国泰寺町一丁目,広島市中区,1098,770,0.15387097762976337,7135.848598050456
34101072002,国泰寺町二丁目,広島市中区,1258,688,0.047678323087132546,26385.1561578832
341010730,平野町,広島市中区,2162,1080,0.13730867162812885,15745.545961258109
341010740,南竹屋町,広島市中区,1203,733,0.0708163520770034,16987.60194103047
34101075001,千田町一丁目,広島市中区,1297,772,0.10387315275170275,12486.383301567197
34101075002,千田町二丁目,広島市中区,1094,602,0.08247041261569091,13265.363483725972
34101075003,千田町三丁目,広島市中区,1760,947,0.18232003763083826,9653.354742958365
34101076001,東千田町一丁目,広島市中区,2660,1235,0.14789895708798068,17985.251906932957
34101076002,東千田町二丁目,広島市中区,869,456,0.11492799376473559,7561.256152951686
341010780,堀川町,広島市中区,43,22,0.02975976295160594,1444.9039822637287
341010790,流川町,広島市中区,74,46,0.04139469095953707,1787.6688600558539
341010800,新天地,広島市中区,12,6,0.02765426193143698,433.92949809152447
341010810,本通,広島市中区,90,51,0.05523982583995295,1629.2593003598192
341010820,東平塚町,広島市中区,1449,1021,0.10767641183170858,13456.9863106573
341010830,西平塚町,広島市中区,1332,788,0.05904633323443823,22558.55574826996
341011140,南千田東町,広島市中区,471,273,0.1134054102379276,4153.241005096929
341011150,南千田西町,広島市中区,986,531,0.15290464961102923,6448.463159938326
34101301001,十日市町一丁目,広島市中区,1426,902,0.05317649610804384,26816.358812033377
34101301002,十日市町二丁目,広島市中区,2246,1587,0.07049201609849944,31861.7642721643
341013020,西十日市町,広島市中区,1402,1061,0.06845219259758813,20481.447661464663
341013040,寺町,広島市中区,418,226,0.11949410269548609,3498.08057946771
341013050,猫屋町,広島市中区,1034,668,0.04262342403159331,24258.9614394559
34101306001,堺町一丁目,広島市中区,1296,840,0.043196025360647976,30002.760420190636
34101306002,堺町二丁目,広島市中区,873,672,0.036041617965375444,24221.99804788664
341013070,榎町,広島市中区,1961,1286,0.08627642047466336,22729.269355534787
341013080,小網町,広島市中区,1273,813,0.05630873244341169,22607.505883378224
341013110,広瀬町,広島市中区,951,588,0.0799556296046406,11894.096822230567
341013120,広瀬北町,広島市中区,1475,871,0.09571182229048744,15410.844394157946
341013130,河原町,広島市中区,2197,1492,0.12001273388798821,18306.390737257363
341013140,土橋町,広島市中区,1286,779,0.07137547586284651,18017.393011447635
34101315001,本川町一丁目,広島市中区,397,290,0.0512714144847751,7743.106056063423
34101315002,本川町二丁目,広島市中区,834,567,0.05601931583879812,14887.72198503689
34101315003,本川町三丁目,広島市中区,569,397,0.03758451056629856,15139.215368956098
341013160,舟入町,広島市中区,1391,880,0.09989368593727713,13924.804024885054
341013170,舟入本町,広島市中区,3554,2188,0.12738331929892086,27900.0423254798
341013180,舟入中町,広島市中区,2859,1803,0.131472651416106,21745.967463235927
341013190,舟入幸町,広島市中区,2754,1507,0.1904122887291929,14463.352225741997
341013200,舟入川口町,広島市中区,2063,1172,0.16894303347062375,12211.21674933533
341013220,西川口町,広島市中区,1353,705,0.12068526376333683,11210.979350828002
341013580,加古町,広島市中区,1565,811,0.15193243107817053,10300.631595862467
341013590,吉島町,広島市中区,1737,593,0.22016112401436233,7889.67628947373
341013610,中島町,広島市中区,710,358,0.2735717115293093,2595.2975767523158
341013620,住吉町,広島市中区,2588,1650,0.12320760216751257,21005.19736177777
341013630,羽衣町,広島市中区,1694,879,0.1403700467032669,12068.10170535175
34101400001,吉島東一丁目,広島市中区,2582,1187,0.17147516755922976,15057.573856040372
34101400002,吉島東二丁目,広島市中区,1566,613,0.08500938476129963,18421.495513668495
34101400003,吉島東三丁目,広島市中区,525,259,0.09411053334761497,5578.5466443040295
34101401001,吉島西一丁目,広島市中区,1695,872,0.1254837422165971,13507.725941694229
34101401002,吉島西二丁目,広島市中区,1564,686,0.14319077461337465,10922.491370152247
34101401003,吉島西三丁目,広島市中区,1145,505,0.1099699668134412,10411.933668602791
34101402001,吉島新町一丁目,広島市中区,1340,619,0.09617539639081052,13932.877329196388
34101402002,吉島新町二丁目,広島市中区,1155,608,0.07413678783072508,15579.309999742454
34101403001,光南一丁目,広島市中区,1362,716,0.0868399447815891,15684.02655512463
34101403002,光南二丁目,広島市中区,1109,620,0.10327187043629707,10738.64543476128
34101403003,光南三丁目,広島市中区,891,471,0.09537628474476686,9341.944933002726
34101403004,光南四丁目,広島市中区,908,439,0.0709455838712643,12798.541508201964
34101403005,光南五丁目,広島市中区,436,200,0.07697629804214785,5664.0811664036
34101403006,光南六丁目,広島市中区,454,201,0.11960377777566007,3795.866722968939
34101404001,南吉島一丁目,広島市中区,40,23,0.11978663427241307,333.9270716049497
34101404002,南吉島二丁目,広島市中区,202,99,0.11138003268915465,1813.610528951382
34101406001,舟入南一丁目,広島市中区,820,431,0.12029612592017426,6816.512117307361
34101406002,舟入南二丁目,広島市中区,1320,634,0.10307972120545715,12805.622527528894
34101406003,舟入南三丁目,広島市中区,2659,1207,0.14916515676612205,17825.878761814867
34101406004,舟入南四丁目,広島市中区,1389,727,0.13939758577932926,9964.304562625859
34101406005,舟入南五丁目,広島市中区,977,521,0.051165117508964394,19095.040675491942
34101406006,舟入南六丁目,広島市中区,147,91,0.07076307714507458,2077.35454605272
34101407001,江波東一丁目,広島市中区,1815,872,0.12134564677079011,14957.273279266086
34101407002,江波東二丁目,広島市中区,482,236,0.053851908780230724,8950.471968728885
34101408001,江波西一丁目,広島市中区,1292,623,0.18856096406386386,6851.895387861994
34101408002,江波西二丁目,広島市中区,1568,690,0.10083412031497731,15550.291856585955
34101409001,江波南一丁目,広島市中区,1166,588,0.13464941126600577,8659.525422628965
34101409002,江波南二丁目,広島市中区,2615,1060,0.18796078063948604,13912.47680023016
34101409003,江波南三丁目,広島市中区,791,373,0.05392360036030755,14668.901829897928
341014100,江波本町,広島市中区,1522,716,0.12050327345750272,12630.362282537959
34101411001,江波二本松一丁目,広島市中区,742,362,0.13369693753330253,5549.865342391821
34101411002,江波二本松二丁目,広島市中区,836,409,0.09999952620004433,8360.039609863965
341014120,江波栄町,広島市中区,1137,509,0.08656491855842795,13134.651068060202
341014130,江波沖町,広島市中区,1,1,0.7298463399806604,1.370151421224498
341014970,,広島市中区,0,0,5.897008264928684,0.0
341020010,戸坂町,広島市東区,0,0,1.4394595635104834,0.0
341020040,尾長町,広島市東区,0,0,0.03223445098194713,0.0
341020060,矢賀町,広島市東区,0,0,0.11537167311269189,0.0
34102007001,矢賀新町一丁目,広島市東区,459,278,0.042674491616302955,10755.839908462976
34102007002,矢賀新町二丁目,広島市東区,823,394,0.04485429592186773,18348.29826408588
34102007003,矢賀新町三丁目,広島市東区,51,27,0.01946844160884555,2619.6241602012965
34102007004,矢賀新町四丁目,広島市東区,385,169,0.040578768393613976,9487.720185726208
34102007005,矢賀新町五丁目,広島市東区,391,270,0.05048313922752035,7745.160185816068
341020080,東蟹屋町,広島市東区,1829,916,0.10528534334584805,17371.83868026135
341020090,若草町,広島市東区,2080,1427,0.10853128684057063,19164.980537413703
34102010001,光町一丁目,広島市東区,1943,1012,0.11405087883399431,17036.25627320343
34102010002,光町二丁目,広島市東区,2079,1189,0.15583587771355414,13340.958645103936
341020110,光が丘,広島市東区,1113,535,0.15331071208945812,7259.766684473782
341020120,山根町,広島市東区,3788,1705,0.6002136134866423,6311.086444700079
341020130,愛宕町,広島市東区,427,281,0.039448325088259066,10824.287192033084
34102042001,二葉の里一丁目,広島市東区,783,469,0.05697824844773856,13742.086170272174
34102042002,二葉の里二丁目,広島市東区,683,348,0.18885044495380215,3616.6184314105267
34102042003,二葉の里三丁目,広島市東区,295,126,0.15712464310588722,1877.4903424996023
34102129001,牛田東一丁目,広島市東区,580,238,0.1294488414639299,4480.534498731789
34102129002,牛田東二丁目,広島市東区,1945,919,0.13940355107389035,13952.298811735862
34102129003,牛田東三丁目,広島市東区,924,385,0.2710393989592392,3409.0984688870185
34102129004,牛田東四丁目,広島市東区,412,185,0.6484245431607095,635.3861900287253
34102130001,牛田南一丁目,広島市東区,853,430,0.12029454633101119,7090.928275774227
34102130002,牛田南二丁目,広島市東区,687,334,0.1266185653067293,5425.744623908549
34102131001,牛田早稲田一丁目,広島市東区,1544,710,0.1074633759904239,14367.685602372909
34102131002,牛田早稲田二丁目,広島市東区,1380,581,0.1591646879625017,8670.264853753995
34102131003,牛田早稲田三丁目,広島市東区,1004,382,0.08900671479871167,11280.047828644636
34102131004,牛田早稲田四丁目,広島市東区,1947,839,0.17887359397219205,10884.781575433004
34102132001,牛田中一丁目,広島市東区,751,325,0.051262204361230176,14650.16983483419
34102132002,牛田中二丁目,広島市東区,902,380,0.052374062091280996,17222.265449411476
34102133001,牛田本町一丁目,広島市東区,816,426,0.056940351485224416,14330.786142262325
34102133002,牛田本町二丁目,広島市東区,590,255,0.03296751653523872,17896.40415799454
34102133003,牛田本町三丁目,広島市東区,516,235,0.04726074706313901,10918.15157535785
34102133004,牛田本町四丁目,広島市東区,822,384,0.06919250853991568,11879.898811961786
34102133005,牛田本町五丁目,広島市東区,813,343,0.06864976263239844,11842.721210172318
34102133006,牛田本町六丁目,広島市東区,2288,1050,0.12397417024686971,18455.45725729728
34102134001,牛田旭一丁目,広島市東区,1013,387,0.09236011449671831,10967.93789743508
34102134002,牛田旭二丁目,広島市東区,2026,797,0.2742260420323435,7388.065644622636
34102135001,牛田新町一丁目,広島市東区,1678,708,0.5150652654517175,3257.839564328565
34102135002,牛田新町二丁目,広島市東区,765,418,0.29472764501972804,2595.616708940872
34102135003,牛田新町三丁目,広島市東区,3504,1493,0.3791703482428275,9241.228952206926
34102135004,牛田新町四丁目,広島市東区,1548,685,0.3465494478494285,4466.895011971242
341021360,牛田山,広島市東区,0,0,0.8236691162088705,0.0
341021370,上大須賀町,広島市東区,865,418,0.06707891260962451,12895.259722440544
34102138001,矢賀一丁目,広島市東区,923,432,0.0866593471083681,10650.899537078005
34102138002,矢賀二丁目,広島市東区,920,377,0.14181710685814825,6487.228659376226
34102138003,矢賀三丁目,広島市東区,671,314,0.143567494987374,4673.759892927093
34102138004,矢賀四丁目,広島市東区,670,395,0.05759527277916291,11632.899154223569
34102138005,矢賀五丁目,広島市東区,30,11,0.266229439990291,112.68475793321001
34102138006,矢賀六丁目,広島市東区,849,347,0.08313237705524683,10212.627499341017
341021400,東山町,広島市東区,1537,488,0.10659827150784343,14418.62028585434
34102141001,戸坂くるめ木一丁目,広島市東区,1778,758,0.24969357696657854,7120.727820075184
34102141002,戸坂くるめ木二丁目,広島市東区,996,476,0.300766172920758,3311.5426190644557
