region_id,region_nm,bus_stop_cnt
34103245003,翠三丁目,1
34103245004,翠四丁目,2
34103245005,翠五丁目,4
34103247001,段原南一丁目,1
34103247002,段原南二丁目,1
34103248001,段原一丁目,1
34103248004,段原四丁目,1
34103249001,段原日出一丁目,2
34103249002,段原日出二丁目,1
34103260001,仁保南一丁目,4
34104303001,中広町一丁目,1
34104303002,中広町二丁目,2
34104303003,中広町三丁目,2
341043090,天満町,1
341043100,上天満町,1
34104325001,観音本町一丁目,2
34104325002,観音本町二丁目,1
34104326001,観音新町一丁目,3
34104326002,観音新町二丁目,1
34104326003,観音新町三丁目,1
34104326004,観音新町四丁目,5
341043270,東観音町,1
341043280,西観音町,1
341043290,南観音町,1
341043320,都町,1
34104333001,福島町一丁目,1
34104333002,福島町二丁目,1
341043410,草津浜町,1
34104346001,三篠町一丁目,3
34104346003,三篠町三丁目,1
341043480,三篠北町,3
34104349002,横川町二丁目,2
34104349003,横川町三丁目,3
341043500,横川新町,1
34104351001,楠木町一丁目,1
341043520,三滝町,2
341043540,新庄町,1
34104388001,庚午北一丁目,2
34104388004,庚午北四丁目,1
34104389001,庚午中一丁目,2
34104389004,庚午中四丁目,1
34104390001,庚午南一丁目,1
34104390002,庚午南二丁目,1
34104391004,高須四丁目,2
341043930,古江西町,1
34104394001,古江上一丁目,2
34104395002,田方二丁目,2
34104395003,田方三丁目,1
341043960,山田町,1
34104397001,大芝一丁目,1
34104397002,大芝二丁目,2
34104398001,大宮一丁目,1
34104405002,南観音二丁目,1
34104405006,南観音六丁目,1
34104405007,南観音七丁目,1
34104414001,草津東一丁目,1
34104415001,草津南一丁目,1
34104415004,草津南四丁目,2
34104416001,井口一丁目,2
34104417003,井口鈴が台三丁目,1
34104419001,三滝本町一丁目,2
34104419002,三滝本町二丁目,2
34104421001,己斐本町一丁目,5
34104421002,己斐本町二丁目,3
34104422001,己斐中一丁目,3
34104422003,己斐中三丁目,2
34104424002,己斐東二丁目,5
34104425001,己斐上一丁目,2
34104425002,己斐上二丁目,7
34104425003,己斐上三丁目,7
34104425004,己斐上四丁目,3
34104425005,己斐上五丁目,3
34104425006,己斐上六丁目,1
341044260,草津梅が台,1
341044270,鈴が峰町,10
34104428001,井口明神一丁目,1
34104430001,商工センター一丁目,2
34104430002,商工センター二丁目,1
34104430003,商工センター三丁目,2
34104430004,商工センター四丁目,1
34104430005,商工センター五丁目,1
34104430006,商工センター六丁目,2
34104430007,商工センター七丁目,1
34104430008,商工センター八丁目,2
34104431001,草津港一丁目,2
34104431002,草津港二丁目,1
34104431003,草津港三丁目,1
34104433001,己斐大迫一丁目,1
34104433002,己斐大迫二丁目,1
34104433003,己斐大迫三丁目,2
34104434001,山田新町一丁目,1
34104434002,山田新町二丁目,2
34104435001,井口台一丁目,1
34104435002,井口台二丁目,4
34104435003,井口台三丁目,3
34104435004,井口台四丁目,1
34104436003,高須台三丁目,2
34104436005,高須台五丁目,1
34105169001,山本新町一丁目,2
34105169002,山本新町二丁目,1
34105169003,山本新町三丁目,2
34105169005,山本新町五丁目,1
34105731001,伴南一丁目,5
34105731002,伴南二丁目,3
34105731004,伴南四丁目,1
34105731005,伴南五丁目,3
341057321,伴北,7
34105732204,伴北四丁目,2
34105732205,伴北五丁目,2
34105732206,伴北六丁目,1
34105733204,伴西四丁目,1
34105733205,伴西五丁目,2
34105733206,伴西六丁目,4
34105750001,伴東一丁目,4
34105750003,伴東三丁目,1
34105750004,伴東四丁目,4
34105750005,伴東五丁目,6
34105750006,伴東六丁目,1
34105750007,伴東七丁目,8
34105750008,伴東八丁目,3
34105751001,大塚東一丁目,1
34105751002,大塚東二丁目,2
34105751003,大塚東三丁目,2
34105752001,大塚西一丁目,8
34105752004,大塚西四丁目,3
34105752005,大塚西五丁目,1
34105752006,大塚西六丁目,2
34105752007,大塚西七丁目,4
341057740,沼田町大字阿戸,12
