region_id,region_nm,bus_stop_cnt
34103126001,西蟹屋一丁目,3
34103126002,西蟹屋二丁目,3
34103126003,西蟹屋三丁目,3
34103127001,南蟹屋一丁目,1
34103127002,南蟹屋二丁目,3
34103128001,大州一丁目,3
34103128002,大州二丁目,3
34103128003,大州三丁目,3
34103128005,大州五丁目,3
34103200001,向洋新町一丁目,1
34103200002,向洋新町二丁目,14
34103200003,向洋新町三丁目,5
341032100,仁保沖町,4
341032120,元宇品町,12
34103216001,皆実町一丁目,9
34103216002,皆実町二丁目,3
34103216004,皆実町四丁目,1
34103216005,皆実町五丁目,1
34103216006,皆実町六丁目,6
341032170,上東雲町,1
34103218001,東雲本町一丁目,2
34103218002,東雲本町二丁目,2
34103218003,東雲本町三丁目,5
34103219001,東雲一丁目,1
34103219002,東雲二丁目,3
34103219003,東雲三丁目,4
34103220001,仁保新町一丁目,4
34103220002,仁保新町二丁目,3
34103222001,仁保一丁目,8
34103222002,仁保二丁目,3
34103222003,仁保三丁目,6
34103222004,仁保四丁目,4
341032230,東本浦町,4
341032250,本浦町,1
341032290,丹那町,4
341032310,日宇那町,1
341032320,楠那町,3
341032340,西霞町,3
34103235003,宇品西三丁目,2
34103235004,宇品西四丁目,2
34103235005,宇品西五丁目,2
34103235006,宇品西六丁目,1
34103236001,宇品御幸一丁目,4
34103236002,宇品御幸二丁目,3
34103236003,宇品御幸三丁目,3
34103236004,宇品御幸四丁目,3
34103236005,宇品御幸五丁目,2
34103237001,宇品神田一丁目,3
34103238001,宇品東一丁目,4
34103238002,宇品東二丁目,2
34103238003,宇品東三丁目,1
34103238005,宇品東五丁目,3
34103238006,宇品東六丁目,1
34103238007,宇品東七丁目,2
34103239001,宇品海岸一丁目,8
34103239002,宇品海岸二丁目,4
34103239003,宇品海岸三丁目,6
34103240002,出島二丁目,2
34103240004,出島四丁目,2
34103241001,霞一丁目,8
34103241002,霞二丁目,3
34103242001,出汐一丁目,9
34103242002,出汐二丁目,4
34103242003,出汐三丁目,6
34103243001,旭一丁目,3
34103243002,旭二丁目,6
341032440,西旭町,2
34103245001,翠一丁目,6
34103245002,翠二丁目,5
34103245003,翠三丁目,9
34103245004,翠四丁目,2
34103245005,翠五丁目,6
341032460,西翠町,3
34103247001,段原南一丁目,8
34103247002,段原南二丁目,3
34103248001,段原一丁目,3
34103248002,段原二丁目,5
34103248003,段原三丁目,6
34103248004,段原四丁目,1
34103249001,段原日出一丁目,1
34103250002,段原山崎二丁目,1
34103260001,仁保南一丁目,5
34103260002,仁保南二丁目,3
34104303001,中広町一丁目,3
34104303002,中広町二丁目,3
34104303003,中広町三丁目,4
341043090,天満町,4
341043100,上天満町,2
341043240,観音町,1
34104325001,観音本町一丁目,4
34104325002,観音本町二丁目,3
34104326001,観音新町一丁目,4
34104326002,観音新町二丁目,3
34104326003,観音新町三丁目,1
34104326004,観音新町四丁目,9
341043270,東観音町,1
341043280,西観音町,2
341043290,南観音町,3
341043320,都町,2
34104333001,福島町一丁目,3
34104333002,福島町二丁目,2
34104334001,小河内町一丁目,1
341043380,草津本町,1
341043410,草津浜町,1
34104346001,三篠町一丁目,6
34104346002,三篠町二丁目,4
34104346003,三篠町三丁目,9
341043480,三篠北町,4
34104349002,横川町二丁目,8
34104349003,横川町三丁目,10
341043500,横川新町,3
34104351001,楠木町一丁目,2
341043520,三滝町,4
341043540,新庄町,2
34104388001,庚午北一丁目,2
34104388002,庚午北二丁目,2
34104388004,庚午北四丁目,1
34104389001,庚午中一丁目,3
34104389002,庚午中二丁目,2
34104389003,庚午中三丁目,1
34104389004,庚午中四丁目,1
34104390002,庚午南二丁目,2
34104391004,高須四丁目,1
341043920,古江東町,1
341043930,古江西町,1
34104394001,古江上一丁目,2
34104394002,古江上二丁目,1
34104395001,田方一丁目,2
34104395002,田方二丁目,7
34104395003,田方三丁目,1
341043960,山田町,3
34104397001,大芝一丁目,4
34104397002,大芝二丁目,4
34104398001,大宮一丁目,6
34104398002,大宮二丁目,4
34104405002,南観音二丁目,1
34104405003,南観音三丁目,3
34104405006,南観音六丁目,3
34104405007,南観音七丁目,2
34104405008,南観音八丁目,1
34104414001,草津東一丁目,1
34104414002,草津東二丁目,1
34104415001,草津南一丁目,1
34104415002,草津南二丁目,1
34104415003,草津南三丁目,2
34104415004,草津南四丁目,1
34104416001,井口一丁目,3
34104416004,井口四丁目,1
34104417003,井口鈴が台三丁目,1
34104419001,三滝本町一丁目,6
34104419002,三滝本町二丁目,2
34104421001,己斐本町一丁目,7
34104421002,己斐本町二丁目,4
34104421003,己斐本町三丁目,3
341044260,草津梅が台,2
341044270,鈴が峰町,25
34104428001,井口明神一丁目,1
34104429001,草津新町一丁目,2
34104429002,草津新町二丁目,10
34104430001,商工センター一丁目,2
34104430002,商工センター二丁目,5
34104430003,商工センター三丁目,3
34104430004,商工センター四丁目,1
34104430005,商工センター五丁目,1
34104430006,商工センター六丁目,1
34104430007,商工センター七丁目,2
34104430008,商工センター八丁目,2
34104432002,扇二丁目,4
