region_id,region_nm,area_km2
11240750,잠실4동,0.7796005396286394
11240780,잠실7동,0.7229321992953419
11240790,잠실2동,2.684789628434084
11240770,잠실6동,1.5068386246932475
11240580,방이2동,0.769245388528477
11010540,삼청동,1.4771877161341354
11010550,부암동,2.2730444117461905
11010560,평창동,8.940655318946723
11010710,숭인2동,0.3516403087193132
11030590,용문동,0.2773250020929131
11090640,수유2동,0.5811770299202288
11090650,수유3동,0.7450809597697614
11090690,삼양동,0.9233943142221899
11090700,미아동,0.8405677285176015
11090710,송중동,1.0749799763016992
11110520,월계2동,2.0037614522878235
11010580,교남동,0.34666713269296207
11010600,가회동,0.5395998506854728
11010610,종로1·2·3·4가동,2.4142213918117528
11010630,종로5·6가동,0.6027128360407475
11010640,이화동,0.781810116345879
11010670,창신1동,0.3049150866847244
11010680,창신2동,0.2573209556602877
11020680,중림동,0.48402315358238945
11020700,다산동,0.5235758744234821
11030650,이태원1동,0.5823813871334249
11030660,이태원2동,0.873667141638525
11030690,서빙고동,2.8150704824658606
11030700,보광동,0.7145584830604359
11040590,금호1가동,0.44509695551762096
11040620,금호4가동,0.831188926070063
11040650,성수1가1동,1.8844416062856824
11040660,성수1가2동,0.9293783431760408
11040690,송정동,0.6813945785496088
11040700,용답동,2.375334058880954
11040720,금호2·3가동,0.6307189464951933
11010720,청운효자동,2.5685600462441083
11010730,혜화동,1.1315701287837576
11020520,소공동,0.9430900469200136
11020540,회현동,0.8971561242695061
11020550,명동,0.9688762437847009
11020570,필동,1.4635867117596495
11020580,장충동,1.0171589803327066
11020590,광희동,0.7366488649605664
11020600,을지로동,0.6111917942547702
11050580,중곡4동,2.3116869560513997
11030510,후암동,0.8652440850112767
11030520,용산2가동,1.9701416426297729
11030530,남영동,1.1769088017294502
11080630,정릉2동,1.0940644983589425
11080640,정릉3동,3.32462768494526
11080650,정릉4동,3.568232200650918
11080660,길음1동,0.7967102671647515
11050630,광장동,2.3919134437296043
11050640,자양1동,0.5684313423805085
11050650,자양2동,1.6562504537264993
11060710,회기동,0.7663325425664168
11060720,휘경1동,0.5213976391108827
11070570,면목7동,1.2345240403690412
11070590,상봉1동,0.8535618321288724
11080710,월곡1동,0.8011485225744581
11080720,월곡2동,1.3642164732678632
11080760,장위1동,0.7080071794150695
11080770,장위2동,0.6790220125612848
11080780,장위3동,0.6521037311583332
11080810,성북동,2.877749906683735
11090610,번2동,0.9735584763168118
11100570,방학3동,1.9495498755562657
11100590,창1동,1.1213180706519612
11100620,창4동,1.1388031491263668
11100640,도봉1동,8.445069213435124
11110560,공릉2동,6.979651621246248
11110790,공릉1동,1.2622931686118104
11110650,상계1동,5.39848371567115
11130680,홍은2동,2.073551287573979
11130690,남가좌1동,0.4751864461332001
11130700,남가좌2동,0.7832205094301556
11130710,북가좌1동,0.5775550391850589
11130720,북가좌2동,0.82423707627416
11130730,충현동,1.1151712579079767
11130740,북아현동,0.45865188726735157
11130750,신촌동,2.7182198689222075
11130760,연희동,2.9270882418557176
11010570,무악동,0.3692454830941786
11010690,창신3동,0.21667188605899926
11160710,방화2동,6.153143014471739
11220650,방배4동,0.9488146509076828
11220660,양재1동,5.760706417073631
11220670,양재2동,7.55651663097076
11220680,내곡동,12.699154082174644
11010700,숭인1동,0.23921531930355835
11020670,황학동,0.32839118411194484
11170520,구로1동,1.0081581932762684
11170540,구로3동,1.0393467190630592
11170550,구로4동,0.5241177855088603
11170560,구로5동,1.011733416212574
11170610,고척1동,1.1504031191114468
11170620,고척2동,1.0248297392522088
11170640,개봉2동,0.7819571161877605
11170650,개봉3동,0.8278188949670586
11170670,오류1동,0.726889696205976
11170690,수궁동,2.6594406667940858
11170700,가리봉동,0.4106990234027877
11200560,상도4동,0.9388666695776191
11020690,신당동,0.5345379271608752
11120520,불광1동,3.122614080645747
11120550,갈현1동,0.960364354215537
11120560,갈현2동,0.9844411451005827
11020710,약수동,0.48586621010966313
11020720,청구동,0.34231211898148256
11120590,응암1동,1.1090437985435506
11120600,응암2동,0.7546903072629819
11030630,이촌1동,2.8706223111838947
11030640,이촌2동,1.2046478612725513
11040540,마장동,1.0344892753848682
11040550,사근동,1.1683267173387386
11040560,행당1동,0.5731303813437363
11040570,행당2동,0.45732219047258804
11040580,응봉동,0.5531646158217925
11120680,수색동,1.2889940797575314
11120710,진관동,11.556755579533615
11040680,성수2가3동,1.0536966074018304
11040710,왕십리도선동,0.7097473188761633
11050530,화양동,1.1354224040883902
11050540,군자동,0.7374601434479379
11140600,대흥동,0.8475703188063382
11140610,염리동,0.4969641598245593
11050550,중곡1동,0.6140336175355927
11140660,서교동,1.677742210923372
11050560,중곡2동,0.5451230512268229
11050570,중곡3동,0.601404253166882
11050590,능동,1.0912666243724278
11140710,연남동,0.6469626458486021
11140720,성산1동,0.8586227953807797
11140730,성산2동,1.9772731869376747
11140740,상암동,8.39629114116671
11140750,도화동,0.6245544841271712
11140760,서강동,1.4774861854803032
11140770,공덕동,1.0185558321614292
11140780,아현동,0.7482782164091958
11150510,목1동,1.4320682730841219
11150520,목2동,1.020612223896961
11150530,목3동,0.5314639494112073
11050600,구의1동,0.594547364992871
11050620,구의3동,1.0267702138947723
11050660,자양3동,1.1955034109200737
11050670,자양4동,1.1791457468099171
11060800,청량리동,1.2034820669386814
11060810,용신동,1.617172414529043
11060820,제기동,1.180807813354679
11060830,전농1동,1.1258371898495363
11060840,전농2동,0.9768211580549818
11060860,답십리2동,0.8750763166100892
11060870,장안1동,1.3411407246656073
11060880,장안2동,0.9958770195428204
11060890,이문1동,1.0380095637788502
11060900,이문2동,0.7241353638774091
11060910,답십리1동,0.7876413717295595
11070520,면목2동,0.7625364018238978
11070540,면목4동,0.8428184666529875
11070550,면목5동,0.7043952412491364
11070640,묵1동,1.2374851222938321
11150630,신월7동,1.2297427505784548
11070650,묵2동,0.6686908117312677
11070680,망우3동,0.9618185403142515
11070690,신내1동,2.6028080955325668
11070700,신내2동,0.9105799228567214
11070710,면목본동,0.848365783938267
11070720,면목3·8동,1.6135314223063586
11070730,망우본동,2.947959987604695
11080580,돈암1동,0.48892535734944215
11080590,돈암2동,0.5180957422690566
11080600,안암동,1.3785264104438293
11080680,길음2동,0.5875565645287607
11150660,신정3동,2.754548211319523
11150690,신정6동,0.9402010020848998
11090600,번1동,0.6265606545698124
11090620,번3동,1.0803548840991508
11100520,쌍문2동,0.5407817799866539
11100530,쌍문3동,0.5044230192306672
11100540,쌍문4동,0.5544469552748543
11160550,화곡본동,0.9716741335846665
11100550,방학1동,1.0400655574688795
11100560,방학2동,1.0919855199612911
11100600,창2동,0.653945315865473
11100610,창3동,0.6549873379620912
11100630,창5동,0.7009428272138005
11180550,독산4동,0.590577806629905
11180570,시흥1동,1.5222423278402542
11180590,시흥3동,1.2604652987393352
11180600,시흥4동,0.8211057615013814
11180610,시흥5동,1.3859532458878494
11110510,월계1동,1.140714886943017
11190560,당산2동,1.5798609255969605
11190610,양평1동,0.9742004529026015
11190620,양평2동,2.8724957607941137
11190630,신길1동,0.7223922690660178
11190650,신길3동,0.5197018581685552
11110530,월계3동,1.1332910131072362
11190680,신길6동,0.6178989287976847
11190690,신길7동,0.6466933178418647
11110580,하계1동,1.5258904774118411
11110590,하계2동,0.49964142592067384
11240610,송파1동,0.6863943359947677
11110780,중계2·3동,0.9183805005524435
11110720,상계8동,0.6658402199539255
11200650,사당3동,0.9070069132749782
11110610,중계1동,0.6229729508204972
11200670,사당5동,0.6816904735447765
11110640,중계4동,1.5181048336709941
11200700,신대방2동,0.9697026209709901
11200710,흑석동,1.7070338715154043
11200720,노량진1동,1.612248540323989
11200730,사당2동,2.761137393163166
11210520,보라매동,0.7561060164483479
11210570,행운동,0.7177001089041155
11210580,낙성대동,2.2611344935929494
11110660,상계2동,0.6226489202870328
11210620,인헌동,1.0882656672411826
11110690,상계5동,0.9061132942372482
11210640,서원동,0.6470538205875297
11110730,상계9동,0.7189792183847337
11160630,화곡8동,0.5932512917643736
11210660,서림동,0.9405546751937022
