region_id,region_nm,bus_stop_cnt
11190550,당산1동,20
11190560,당산2동,41
11190610,양평1동,22
11190620,양평2동,28
11190630,신길1동,20
11190650,신길3동,24
11190660,신길4동,12
11190670,신길5동,21
11190680,신길6동,23
11190690,신길7동,31
11190700,대림1동,16
11190710,대림2동,12
11190720,대림3동,37
11190730,영등포본동,19
11190740,영등포동,44
11190750,도림동,22
11190760,문래동,43
11200520,노량진2동,12
11200530,상도1동,44
11200540,상도2동,36
11200550,상도3동,33
11200560,상도4동,32
11200630,사당1동,12
11200650,사당3동,27
11200660,사당4동,4
11200670,사당5동,24
11200680,대방동,53
11200690,신대방1동,14
11200700,신대방2동,28
11200710,흑석동,47
11200720,노량진1동,49
11200730,사당2동,26
11210520,보라매동,25
11210540,청림동,8
11210570,행운동,15
11210580,낙성대동,34
11210610,중앙동,12
11210620,인헌동,24
11210630,남현동,9
11210640,서원동,21
11210650,신원동,10
11210660,서림동,23
11210680,신사동,18
11210690,신림동,17
11210710,난향동,15
11210720,조원동,26
11210730,대학동,53
11210780,은천동,40
11210790,성현동,29
11210800,청룡동,16
11210810,난곡동,22
11210820,삼성동,30
11210830,미성동,36
11220510,서초1동,34
11220520,서초2동,44
11220530,서초3동,73
11220540,서초4동,42
11220550,잠원동,20
11220560,반포본동,3
11220570,반포1동,19
11220580,반포2동,17
11220590,반포3동,15
11220600,반포4동,32
11220610,방배본동,21
11220620,방배1동,22
11220630,방배2동,35
11220640,방배3동,43
11220650,방배4동,29
11220660,양재1동,73
11220670,양재2동,55
11220680,내곡동,63
11230510,신사동,14
11230511,개포3동,12
11230520,논현1동,18
11230530,논현2동,26
11230580,삼성1동,29
11230590,삼성2동,21
11230600,대치1동,18
11230630,대치4동,14
11230640,역삼1동,47
11230650,역삼2동,26
11230660,도곡1동,22
11230670,도곡2동,19
11230680,개포1동,15
11230710,개포4동,27
11230720,일원본동,27
11230730,일원1동,15
11230750,수서동,20
11230760,세곡동,66
11230770,압구정동,20
11230780,청담동,25
11230790,대치2동,30
11230800,개포2동,34
11240510,풍납1동,8
11240520,풍납2동,25
11240530,거여1동,8
11240540,거여2동,9
11240550,마천1동,13
11240560,마천2동,15
11240570,방이1동,12
11240580,방이2동,13
11240590,오륜동,24
11240600,오금동,38
11240610,송파1동,14
11240620,송파2동,12
11240630,석촌동,19
11240640,삼전동,14
11240650,가락본동,26
11240660,가락1동,14
11240670,가락2동,23
11240680,문정1동,17
11240690,문정2동,33
11240710,잠실본동,13
11240750,잠실4동,10
11240770,잠실6동,15
11240780,잠실7동,4
11240790,잠실2동,11
11240800,잠실3동,28
11240810,장지동,43
11240820,위례동,57
11250530,명일1동,24
11250540,명일2동,13
11250550,고덕1동,29
11250560,고덕2동,39
11250580,암사2동,6
11250590,암사3동,18
11250610,천호1동,19
11250630,천호3동,12
11250650,성내1동,21
11250660,성내2동,18
11250670,성내3동,15
11250700,둔촌1동,13
11250710,둔촌2동,30
11250720,암사1동,13
11250730,천호2동,25
11250740,길동,37
11250750,강일동,48
11250760,상일1동,40
11250770,상일2동,18
