"동별(1)",동별(2),동별(3),2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",용산구,한남동,6977,15545,7405,8140,13719,6402,7317,1826,1003,823,1.97,2795
"합계",성동구,소계,133173,282714,135940,146774,274606,132541,142065,8108,3399,4709,2.06,53444
"합계",성동구,왕십리2동,7311,16125,7660,8465,15774,7511,8263,351,149,202,2.16,2984
"합계",성동구,마장동,11014,22451,10757,11694,21438,10465,10973,1013,292,721,1.95,4514
"합계",성동구,사근동,8278,14130,7082,7048,11950,6206,5744,2180,876,1304,1.44,1646
"합계",성동구,행당1동,7252,15779,7427,8352,15457,7311,8146,322,116,206,2.13,2669
"합계",성동구,행당2동,9131,22502,10450,12052,22412,10423,11989,90,27,63,2.45,4457
"합계",성동구,응봉동,5856,14515,6881,7634,14433,6846,7587,82,35,47,2.46,2697
"합계",성동구,금호1가동,6359,14356,6793,7563,14277,6757,7520,79,36,43,2.25,3070
"합계",성동구,금호4가동,6322,14047,6600,7447,13869,6503,7366,178,97,81,2.19,2883
"합계",성동구,성수1가1동,7288,15193,7507,7686,14906,7357,7549,287,150,137,2.05,2742
"합계",성동구,성수1가2동,6709,13827,6707,7120,13548,6566,6982,279,141,138,2.02,2448
"합계",성동구,성수2가1동,7298,14223,7318,6905,13692,7048,6644,531,270,261,1.88,3292
"합계",성동구,성수2가3동,4988,9786,4783,5003,9508,4650,4858,278,133,145,1.91,2006
"합계",성동구,송정동,5121,9604,5034,4570,9116,4800,4316,488,234,254,1.78,2050
"합계",성동구,용답동,8243,14056,7104,6952,13040,6681,6359,1016,423,593,1.58,2485
"합계",성동구,왕십리도선동,11982,26041,12216,13825,25540,12028,13512,501,188,313,2.13,4492
"합계",성동구,금호2.3가동,9357,20727,9823,10904,20566,9748,10818,161,75,86,2.20,4216
"합계",성동구,옥수동,10664,25352,11798,13554,25080,11641,13439,272,157,115,2.35,4793
"합계",광진구,소계,171133,349117,165852,183265,331167,158534,172633,17950,7318,10632,1.94,62783
"합계",광진구,화양동,17996,28243,12557,15686,22755,10724,12031,5488,1833,3655,1.26,2535
"합계",광진구,군자동,11147,21251,10349,10902,18459,9056,9403,2792,1293,1499,1.66,3573
"합계",광진구,중곡1동,8631,15403,7278,8125,14865,7042,7823,538,236,302,1.72,2999
"합계",광진구,중곡2동,10484,20180,9476,10704,19752,9309,10443,428,167,261,1.88,4077
"합계",광진구,중곡3동,8414,15500,7551,7949,15164,7420,7744,336,131,205,1.80,3509
"합계",광진구,중곡4동,13001,27213,13115,14098,26759,12938,13821,454,177,277,2.06,6467
"합계",광진구,능동,6446,11343,5222,6121,10811,4969,5842,532,253,279,1.68,1891
"합계",광진구,구의1동,13259,23644,11116,12528,22856,10790,12066,788,326,462,1.72,3878
"합계",광진구,구의2동,11490,25502,12080,13422,24857,11809,13048,645,271,374,2.16,5261
"합계",광진구,구의3동,12056,27779,13125,14654,27511,13007,14504,268,118,150,2.28,5049
"합계",광진구,광장동,11676,33229,16070,17159,32964,15950,17014,265,120,145,2.82,4542
"합계",광진구,자양1동,12083,22532,10780,11752,21509,10337,11172,1023,443,580,1.78,4217
"합계",광진구,자양2동,12217,26732,12871,13861,26401,12726,13675,331,145,186,2.16,4950
"합계",광진구,자양3동,10926,27050,12958,14092,26669,12785,13884,381,173,208,2.44,5187
"합계",광진구,자양4동,11307,23516,11304,12212,19835,9672,10163,3681,1632,2049,1.75,4648
"합계",동대문구,소계,176684,366923,176365,190558,346241,168825,177416,20682,7540,13142,1.96,72779
"합계",동대문구,전농1동,16302,33235,16382,16853,32262,16016,16246,973,366,607,1.98,6704
"합계",동대문구,전농2동,7367,17870,8461,9409,17349,8263,9086,521,198,323,2.35,4242
"합계",동대문구,답십리1동,12866,27700,13170,14530,27251,12989,14262,449,181,268,2.12,4770
"합계",동대문구,답십리2동,12656,27728,13241,14487,27346,13079,14267,382,162,220,2.16,6537
"합계",동대문구,장안1동,18522,37909,18396,19513,37034,18091,18943,875,305,570,2.00,7999
"합계",동대문구,장안2동,14783,33258,16322,16936,32786,16145,16641,472,177,295,2.22,6382
"합계",동대문구,회기동,6549,13543,5977,7566,10102,4739,5363,3441,1238,2203,1.54,1602
"합계",동대문구,휘경1동,8954,19199,8631,10568,16660,7784,8876,2539,847,1692,1.86,2597
"합계",동대문구,휘경2동,12580,24917,12218,12699,23607,11779,11828,1310,439,871,1.88,4622
"합계",동대문구,이문1동,13009,28225,13281,14944,24539,11901,12638,3686,1380,2306,1.89,3646
"합계",동대문구,이문2동,8166,18800,9043,9757,18061,8673,9388,739,370,369,2.21,4347
"합계",동대문구,청량리동,9832,18669,9073,9596,18005,8814,9191,664,259,405,1.83,6101
"합계",동대문구,용신동,-,1884,647,1237,-,-,-,1884,647,1237,-,65
"합계",동대문구,제기동,12859,25038,12400,12638,22291,11429,10862,2747,971,1776,1.73,5883
"합계",동대문구,용두동,12708,22573,11077,11496,22573,11077,11496,-,-,-,2,4692
"합계",동대문구,신설동,9531,16375,8046,8329,16375,8046,8329,-,-,-,2,2590
"합계",중랑구,소계,189383,383764,186939,196825,376916,184055,192861,6848,2884,3964,1.99,88128
"합계",중랑구,면목2동,12054,23464,11569,11895,22978,11370,11608,486,199,287,1.91,5660
"합계",중랑구,면목4동,8852,17910,8854,9056,17509,8680,8829,401,174,227,1.98,4420
"합계",중랑구,면목5동,6306,14232,7006,7226,14058,6948,7110,174,58,116,2.23,2830
"합계",중랑구,면목7동,10469,20978,10371,10607,20530,10183,10347,448,188,260,1.96,5234
"합계",중랑구,상봉1동,10257,22993,11095,11898,22807,11021,11786,186,74,112,2.22,4868
"합계",중랑구,상봉2동,13533,21802,10175,11627,21225,9935,11290,577,240,337,1.57,3650
"합계",중랑구,중화1동,8727,18180,8932,9248,17881,8816,9065,299,116,183,2.05,4424
"합계",중랑구,중화2동,14327,26172,13252,12920,25489,12945,12544,683,307,376,1.78,6251
"합계",중랑구,묵1동,14844,33226,15789,17437,32991,15694,17297,235,95,140,2.22,7107
"합계",중랑구,묵2동,9173,17991,8744,9247,17626,8606,9020,365,138,227,1.92,4334
"합계",중랑구,망우3동,8209,15746,7860,7886,15196,7631,7565,550,229,321,1.85,4120
"합계",중랑구,신내1동,14665,36799,17612,19187,36607,17532,19075,192,80,112,2.50,8533
"합계",중랑구,신내2동,8827,19121,8995,10126,19022,8968,10054,99,27,72,2.15,4956
"합계",중랑구,면목본동,17635,32554,15968,16586,31605,15547,16058,949,421,528,1.79,7342
"합계",중랑구,면목3.8동,12712,24127,11892,12235,23476,11583,11893,651,309,342,1.85,6073
"합계",중랑구,망우본동,18793,38469,18825,19644,37916,18596,19320,553,229,324,2.02,8326
"합계",성북구,소계,198800,437496,207529,229967,422559,201894,220665,14937,5635,9302,2.13,87537
"합계",성북구,돈암1동,5963,13831,6419,7412,13729,6376,7353,102,43,59,2.30,3370
"합계",성북구,돈암2동,8480,23009,10841,12168,22878,10780,12098,131,61,70,2.70,4212
"합계",성북구,안암동,10332,18120,8604,9516,15447,7735,7712,2673,869,1804,1.50,2323
"합계",성북구,보문동,8068,16387,7783,8604,15748,7530,8218,639,253,386,1.95,2917
"합계",성북구,정릉1동,7335,17832,8512,9320,17566,8406,9160,266,106,160,2.39,3660
"합계",성북구,정릉2동,9590,22008,10485,11523,21668,10361,11307,340,124,216,2.26,5206
"합계",성북구,정릉3동,7859,15656,7582,8074,13795,6755,7040,1861,827,1034,1.76,3361
"합계",성북구,정릉4동,10728,24078,11321,12757,23513,11192,12321,565,129,436,2.19,5689
"합계",성북구,길음1동,12812,35605,16795,18810,35437,16738,18699,168,57,111,2.77,5381
"합계",성북구,길음2동,8656,21499,10227,11272,21362,10168,11194,137,59,78,2.47,3508
"합계",성북구,월곡1동,10581,24937,11942,12995,24661,11837,12824,276,105,171,2.33,5573
"합계",성북구,월곡2동,9563,19125,8991,10134,18338,8709,9629,787,282,505,1.92,4173
"합계",성북구,장위1동,10572,22954,11137,11817,22700,11030,11670,254,107,147,2.15,4858
"합계",성북구,장위2동,7806,15994,7813,8181,15649,7657,7992,345,156,189,2.00,3768
"합계",성북구,장위3동,7658,18806,9176,9630,18641,9114,9527,165,62,103,2.43,3021
"합계",성북구,성북동,7983,16098,7441,8657,15470,7181,8289,628,260,368,1.94,3363
"합계",성북구,삼선동,11370,22339,10395,11944,21619,10198,11421,720,197,523,1.90,4473
"합계",성북구,동선동,9721,15991,6256,9735,14743,5934,8809,1248,322,926,1.52,2337
"합계",성북구,종암동,17123,39208,19112,20096,36798,18110,18688,2410,1002,1408,2.15,7962
"합계",성북구,석관동,16600,34019,16697,17322,32797,16083,16714,1222,614,608,1.98,8382
"합계",강북구,소계,142256,285900,136496,149404,278928,134160,144768,6972,2336,4636,1.96,74406
"합계",강북구,번1동,9642,17110,8243,8867,16040,7868,8172,1070,375,695,1.66,3822
"합계",강북구,번2동,7408,14469,6875,7594,14328,6826,7502,141,49,92,1.93,4598
"합계",강북구,번3동,7560,15674,7245,8429,15610,7226,8384,64,19,45,2.06,5213
"합계",강북구,수유1동,10406,19855,9551,10304,19298,9382,9916,557,169,388,1.85,5202
"합계",강북구,수유2동,9690,20214,9509,10705,19954,9433,10521,260,76,184,2.06,5868
"합계",강북구,수유3동,13574,23940,11356,12584,22375,10884,11491,1565,472,1093,1.65,5539
"합계",강북구,삼양동,11750,24715,12130,12585,24459,12043,12416,256,87,169,2.08,6071
"합계",강북구,미아동,11749,21140,9942,11198,20202,9660,10542,938,282,656,1.72,5346
"합계",강북구,송중동,13579,28210,13373,14837,27370,13011,14359,840,362,478,2.02,6949
"합계",강북구,송천동,11805,22471,11047,11424,21936,10824,11112,535,223,312,1.86,6528
"합계",강북구,삼각산동,11484,30090,14393,15697,29987,14358,15629,103,35,68,2.61,5466
"합계",강북구,우이동,9574,19576,9237,10339,19349,9165,10184,227,72,155,2.02,5661
"합계",강북구,인수동,14035,28436,13595,14841,28020,13480,14540,416,115,301,2.00,8143
"합계",도봉구,소계,139018,303051,145846,157205,299899,144726,155173,3152,1120,2032,2.16,78335
"합계",도봉구,쌍문1동,9677,21017,9815,11202,20482,9717,10765,535,98,437,2.12,5525
"합계",도봉구,쌍문2동,8404,17583,8383,9200,17333,8250,9083,250,133,117,2.06,4683
"합계",도봉구,쌍문3동,8206,16270,7691,8579,15949,7597,8352,321,94,227,1.94,4081
"합계",도봉구,쌍문4동,7081,17714,8317,9397,17657,8303,9354,57,14,43,2.49,4058
"합계",도봉구,방학1동,13170,27973,13745,14228,27628,13607,14021,345,138,207,2.10,7168
"합계",도봉구,방학2동,9056,17872,8921,8951,17645,8814,8831,227,107,120,1.95,5296
"합계",도봉구,방학3동,9912,25468,12270,13198,25385,12248,13137,83,22,61,2.56,6491
"합계",도봉구,창1동,10874,23639,11189,12450,23378,11086,12292,261,103,158,2.15,5606
"합계",도봉구,창2동,12666,27820,13368,14452,27480,13235,14245,340,133,207,2.17,6585
"합계",도봉구,창3동,6361,12864,6412,6452,12742,6366,6376,122,46,76,2.00,3445
"합계",도봉구,창4동,11314,26056,12391,13665,25942,12343,13599,114,48,66,2.29,5405
"합계",도봉구,창5동,10285,23443,11063,12380,23284,11008,12276,159,55,104,2.26,5448
"합계",도봉구,도봉1동,10205,19630,9783,9847,19440,9712,9728,190,71,119,1.90,6724
"합계",도봉구,도봉2동,11807,25702,12498,13204,25554,12440,13114,148,58,90,2.16,7820
"합계",노원구,소계,216559,489003,233481,255522,483541,231254,252287,5462,2227,3235,2.23,104776
"합계",노원구,월계1동,10031,20988,10755,10233,20078,10342,9736,910,413,497,2.00,4700
