region_id,region_nm,population,area_km2,pop_density
11010530,사직동,9139,1.157671300936425,7894.296068847508
11010540,삼청동,2353,1.4771877161341354,1592.8916645461306
11010550,부암동,9170,2.2730444117461905,4034.2370578476525
11010560,평창동,17270,8.940655318946723,1931.6257459788235
11010570,무악동,7714,0.3692454830941786,20891.25081601199
11010580,교남동,9589,0.34666713269296207,27660.5397388302
11010600,가회동,3714,0.5395998506854728,6882.878109180302
11010610,종로1·2·3·4가동,8628,2.4142213918117528,3573.8230260337127
11010630,종로5·6가동,6017,0.6027128360407475,9983.195379620569
11010640,이화동,7607,0.781810116345879,9729.98409838253
11010670,창신1동,5394,0.3049150866847244,17690.170921510617
11010680,창신2동,8456,0.2573209556602877,32861.68426625743
11010690,창신3동,6354,0.21667188605899926,29325.447410698314
11010700,숭인1동,6067,0.23921531930355835,25362.088087264707
11010710,숭인2동,11439,0.3516403087193132,32530.40028790003
11010720,청운효자동,11001,2.5685600462441083,4282.944452120664
11010730,혜화동,18901,1.1315701287837576,16703.33947425363
11020520,소공동,3520,0.9430900469200136,3732.411355093584
11020540,회현동,4775,0.8971561242695061,5322.373520983276
11020550,명동,3389,0.9688762437847009,3497.866752064867
11020570,필동,5293,1.4635867117596495,3616.4580871578846
11020580,장충동,5427,1.0171589803327066,5335.449133256298
11020590,광희동,7055,0.7366488649605664,9577.15451089124
11020600,을지로동,3362,0.6111917942547702,5500.728301006244
11020650,신당5동,10284,0.3194643960837916,32191.3807174388
11020670,황학동,14012,0.32839118411194484,42668.624122453504
11020680,중림동,12203,0.48402315358238945,25211.603845151243
11020690,신당동,8878,0.5345379271608752,16608.737282973125
11020700,다산동,13481,0.5235758744234821,25747.939617814034
11020710,약수동,15980,0.48586621010966313,32889.71257415331
11020720,청구동,10914,0.34231211898148256,31883.18319688353
11020730,동화동,9871,0.3267983959590206,30205.166616661696
11030510,후암동,16108,0.8652440850112767,18616.712068930312
11030520,용산2가동,9879,1.9701416426297729,5014.360280620926
11030530,남영동,7496,1.1769088017294502,6369.22758074775
11030720,원효로1동,17755,0.5886182404014995,30163.863063246605
11030570,원효로2동,13523,0.7084486938684473,19088.185378899296
11030580,효창동,10553,0.44574811654907553,23674.80558684121
11030590,용문동,11168,0.2773250020929131,40270.44051462172
11030630,이촌1동,25395,2.8706223111838947,8846.513838153323
11030640,이촌2동,7783,1.2046478612725513,6460.809212559668
11030650,이태원1동,7343,0.5823813871334249,12608.576033213269
11030660,이태원2동,9898,0.873667141638525,11329.257480642718
11030690,서빙고동,12791,2.8150704824658606,4543.758346254878
11030700,보광동,7547,0.7145584830604359,10561.766711769189
11030710,청파동,19576,0.8855240846429479,22106.6827424499
11030730,한강로동,22624,2.867675949828901,7889.315388424502
11030740,한남동,15545,3.029614722053193,5131.015467691231
11040520,왕십리2동,16125,0.3721434556132778,43330.06467472774
11040540,마장동,22451,1.0344892753848682,21702.496617615874
11040550,사근동,14130,1.1683267173387386,12094.219699251491
11040560,행당1동,15779,0.5731303813437363,27531.257308337503
11040570,행당2동,22502,0.45732219047258804,49203.82275075448
11040580,응봉동,14515,0.5531646158217925,26239.92855804094
11040590,금호1가동,14356,0.44509695551762096,32253.646811187096
11040620,금호4가동,14047,0.831188926070063,16899.88829184178
11040650,성수1가1동,15193,1.8844416062856824,8062.335255877774
11040660,성수1가2동,13827,0.9293783431760408,14877.686898478674
11040670,성수2가1동,14223,1.1840610355309205,12012.04969439988
11040680,성수2가3동,9786,1.0536966074018304,9287.30331981422
11040690,송정동,9604,0.6813945785496088,14094.623441886957
11040700,용답동,14056,2.375334058880954,5917.483457725494
11040710,왕십리도선동,26041,0.7097473188761633,36690.52253868906
11040720,금호2·3가동,20727,0.6307189464951933,32862.497813291804
11040730,옥수동,25352,1.920741998355649,13199.065789004404
11050530,화양동,28243,1.1354224040883902,24874.443113244524
11050540,군자동,21251,0.7374601434479379,28816.472576595927
11050550,중곡1동,15403,0.6140336175355927,25084.945775150754
11050560,중곡2동,20180,0.5451230512268229,37019.164672240586
11050570,중곡3동,15500,0.601404253166882,25773.013606704488
11050580,중곡4동,27213,2.3116869560513997,11771.92263371275
11050590,능동,11343,1.0912666243724278,10394.343368215079
11050600,구의1동,23644,0.594547364992871,39768.067932289145
11050610,구의2동,25502,1.386971861121762,18386.81859008615
11050620,구의3동,27779,1.0267702138947723,27054.73885401092
11050630,광장동,33229,2.3919134437296043,13892.225108358225
11050640,자양1동,22532,0.5684313423805085,39638.912072721454
11050650,자양2동,26732,1.6562504537264993,16140.07105015672
11050660,자양3동,27050,1.1955034109200737,22626.45154578187
11050670,자양4동,23516,1.1791457468099171,19943.25134413674
11060830,전농1동,33235,1.1258371898495363,29520.254171423956
11060840,전농2동,17870,0.9768211580549818,18294.034535024028
11060910,답십리1동,27700,0.7876413717295595,35168.28977530009
11060860,답십리2동,27728,0.8750763166100892,31686.379203375083
11060870,장안1동,37909,1.3411407246656073,28266.235826558786
11060880,장안2동,33258,0.9958770195428204,33395.689776301726
11060710,회기동,13543,0.7663325425664168,17672.484525640837
11060720,휘경1동,19199,0.5213976391108827,36822.18437494125
11060730,휘경2동,24917,1.1127574442945396,22392.121596451558
11060890,이문1동,28225,1.0380095637788502,27191.464303322533
11060900,이문2동,18800,0.7241353638774091,25961.9968003423
11060800,청량리동,18669,1.2034820669386814,15512.48706803639
11060810,용신동,1884,1.617172414529043,1164.9963745817809
11060820,제기동,25038,1.180807813354679,21204.12798494867
,용두동,22573,,
,신설동,16375,,
11070520,면목2동,23464,0.7625364018238978,30770.990006348366
11070540,면목4동,17910,0.8428184666529875,21250.127647445177
11070550,면목5동,14232,0.7043952412491364,20204.56579854478
11070570,면목7동,20978,1.2345240403690412,16992.783707742914
11070590,상봉1동,22993,0.8535618321288724,26937.708710162282
11070600,상봉2동,21802,0.676924923790068,32207.412127672473
11070610,중화1동,18180,0.6410008766084403,28361.89569067528
11070620,중화2동,26172,1.0161759495091476,25755.382237339993
11070640,묵1동,33226,1.2374851222938321,26849.61572581292
11070650,묵2동,17991,0.6686908117312677,26904.811138978523
11070680,망우3동,15746,0.9618185403142515,16371.071402777665
11070690,신내1동,36799,2.6028080955325668,14138.191771864176
11070700,신내2동,19121,0.9105799228567214,20998.705901633046
11070710,면목본동,32554,0.848365783938267,38372.598961828066
11070720,면목3·8동,24127,1.6135314223063586,14952.916110870165
11070730,망우본동,38469,2.947959987604695,13049.363004162484
11080580,돈암1동,13831,0.48892535734944215,28288.571644106363
11080590,돈암2동,23009,0.5180957422690566,44410.710459093105
11080600,안암동,18120,1.3785264104438293,13144.47069183542
11080610,보문동,16387,0.552588387721046,29654.98436835118
11080620,정릉1동,17832,0.4116542564208806,43317.90506683923
11080630,정릉2동,22008,1.0940644983589425,20115.815871012368
11080640,정릉3동,15656,3.32462768494526,4709.0987273234405
11080650,정릉4동,24078,3.568232200650918,6747.879242726323
11080660,길음1동,35605,0.7967102671647515,44690.02279424278
11080680,길음2동,21499,0.5875565645287607,36590.51961617158
11080710,월곡1동,24937,0.8011485225744581,31126.563049590313
11080720,월곡2동,19125,1.3642164732678632,14019.036109560902
11080760,장위1동,22954,0.7080071794150695,32420.57519665801
11080770,장위2동,15994,0.6790220125612848,23554.46466259659
11080780,장위3동,18806,0.6521037311583332,28838.97009237298
11080810,성북동,16098,2.877749906683735,5593.953790984928
11080820,삼선동,22339,0.9255283512052018,24136.483740244872
11080830,동선동,15991,0.7242577354908236,22079.156654313163
11080840,종암동,39208,1.4034622981228613,27936.625053940472
11080850,석관동,34019,1.703758672533664,19967.02969054312
11090600,번1동,17110,0.6265606545698124,27307.811103695112
11090610,번2동,14469,0.9735584763168118,14861.973216790679
11090620,번3동,15674,1.0803548840991508,14508.195622283594
11090630,수유1동,19855,1.6487188003374509,12042.68429275883
11090640,수유2동,20214,0.5811770299202288,34781.1406152348
11090650,수유3동,23940,0.7450809597697614,32130.736514053096
11090690,삼양동,24715,0.9233943142221899,26765.38031406267
11090700,미아동,21140,0.8405677285176015,25149.66882833086
11090710,송중동,28210,1.0749799763016992,26242.34927338098
11090720,송천동,22471,0.9292093279187486,24182.92555277157
11090730,삼각산동,30090,0.6214413109988387,48419.69702921187
11090740,우이동,19576,10.579790133982305,1850.3202570268245
11090750,인수동,28436,2.995754951037295,9492.098140455011
11100510,쌍문1동,21017,1.174885572111189,17888.550594960398
11100520,쌍문2동,17583,0.5407817799866539,32514.039212700427
11100530,쌍문3동,16270,0.5044230192306672,32254.673913998962
11100540,쌍문4동,17714,0.5544469552748543,31948.953513900517
11100550,방학1동,27973,1.0400655574688795,26895.42000417315
11100560,방학2동,17872,1.0919855199612911,16366.5173881001
11100570,방학3동,25468,1.9495498755562657,13063.528314572208
11100590,창1동,23639,1.1213180706519612,21081.44033231866
11100600,창2동,27820,0.653945315865473,42541.78342600594
11100610,창3동,12864,0.6549873379620912,19640.074325749076
11100620,창4동,26056,1.1388031491263668,22880.16152746756
11100630,창5동,23443,0.7009428272138005,33444.95312575536
11100640,도봉1동,19630,8.445069213435124,2324.433288097977
11100650,도봉2동,25702,1.1181792074859087,22985.582121302232
11110510,월계1동,20988,1.140714886943017,18398.988424044674
11110520,월계2동,25027,2.0037614522878235,12490.00971219656
11110530,월계3동,28015,1.1332910131072362,24720.04072739357
11110790,공릉1동,36035,1.2622931686118104,28547.251063418964
11110560,공릉2동,41673,6.979651621246248,5970.641840223982
11110580,하계1동,26149,1.5258904774118411,17136.878686308446
11110590,하계2동,19663,0.49964142592067384,39354.22280842225
11110600,중계본동,22291,2.1815563088529277,10217.934742065268
11110610,중계1동,26075,0.6229729508204972,41855.749861462646
11110640,중계4동,18827,1.5181048336709941,12401.646831249214
11110650,상계1동,36174,5.39848371567115,6700.770420959357
11110660,상계2동,18790,0.6226489202870328,30177.519606615657
11110690,상계5동,22309,0.9061132942372482,24620.541539211565
11110720,상계8동,21305,0.6658402199539255,31997.16592889846
11110730,상계9동,19039,0.7189792183847337,26480.598483462734
11110740,상계10동,17810,0.8085968982159187,22025.807963517833
11110780,중계2·3동,31612,0.9183805005524435,34421.462543013586
11110760,상계3·4동,26743,5.207882579618025,5135.100415793452
11110770,상계6·7동,30478,1.4491880551025127,21031.086954304246
11120510,녹번동,35504,1.7928884928549231,19802.681617675433
11120520,불광1동,34670,3.122614080645747,11102.87698210544
11120720,불광2동,26443,1.395058255569086,18954.76399959592
11120550,갈현1동,14138,0.960364354215537,14721.496000909436
11120560,갈현2동,27051,0.9844411451005827,27478.5345316262
11120570,구산동,30861,1.3887547551170611,22222.066125273977
11120580,대조동,27406,0.8510646954677477,32202.01724492588
11120590,응암1동,32352,1.1090437985435506,29171.075157253657
11120600,응암2동,27091,0.7546903072629819,35896.8436977153
11120730,응암3동,23448,0.7522187867171962,31171.78195233709
11120650,신사1동,25938,0.8077200019274,32112.61320520248
11120660,신사2동,18957,1.0454542956112647,18132.786942078677
11120670,증산동,15404,0.807136375707914,19084.75502233391
11120680,수색동,21313,1.2889940797575314,16534.598827644826
11120710,진관동,54036,11.556755579533615,4675.706743828243
11120740,역촌동,44974,1.1566908080189275,38881.60923231272
11130520,천연동,16516,0.9820858076232377,16817.267770084825
11130620,홍제1동,24550,1.2347162547064512,19883.11071990922
11130650,홍제2동,12038,0.6994577647965035,17210.474464462157
11130640,홍제3동,17491,1.2079917025559412,14479.404091097227
11130660,홍은1동,23492,1.5975732301147443,14704.803233534845
11130680,홍은2동,28295,2.073551287573979,13645.671640514225
11130690,남가좌1동,16955,0.4751864461332001,35680.73150648603
11130700,남가좌2동,30148,0.7832205094301556,38492.35258399279
11130710,북가좌1동,17398,0.5775550391850589,30123.535974249153
11130720,북가좌2동,30124,0.82423707627416,36547.73713428547
11130730,충현동,19756,1.1151712579079767,17715.664620931482
11130740,북아현동,15471,0.45865188726735157,33731.4648200321
11130750,신촌동,27902,2.7182198689222075,10264.80613985922
11130760,연희동,36696,2.9270882418557176,12536.690720582938
11140590,용강동,21497,0.7900160319886447,27210.840197618912
11140600,대흥동,16221,0.8475703188063382,19138.23507038871
11140610,염리동,17650,0.4969641598245593,35515.639611176164
11140630,신수동,22283,0.7972897320185351,27948.434684572072
11140660,서교동,25904,1.677742210923372,15439.797503660186
11140680,합정동,16035,1.7111314778711224,9370.992356443408
11140690,망원1동,18778,1.1001983332946037,17067.83170973206
11140700,망원2동,17438,0.6759150151570306,25799.101379555465
11140710,연남동,14728,0.6469626458486021,22764.838270811928
11140720,성산1동,18697,0.8586227953807797,21775.56908643254
11140730,성산2동,38532,1.9772731869376747,19487.443745533663
11140740,상암동,29798,8.39629114116671,3548.9479222440837
11140750,도화동,20486,0.6245544841271712,32800.98137255334
11140760,서강동,25103,1.4774861854803032,16990.344983726183
11140770,공덕동,36648,1.0185558321614292,35980.35457931748
11140780,아현동,29566,0.7482782164091958,39512.041579774974
11150510,목1동,30028,1.4320682730841219,20968.27404417758
11150520,목2동,28100,1.020612223896961,27532.494067832093
11150530,목3동,20871,0.5314639494112073,39270.77278359584
11150540,목4동,23864,0.5770740548250616,41353.44467571724
11150710,목5동,40661,1.7650732249471093,23036.438049882272
11150570,신월1동,18811,0.6219512295285401,30245.136767812757
11150580,신월2동,20551,0.6063729592560596,33891.68281054847
11150590,신월3동,13836,0.9173800646258882,15082.080517677681
11150600,신월4동,16813,0.4695345661586713,35807.800344817064
11150610,신월5동,13811,0.6378434046038916,21652.650008314813
11150620,신월6동,13765,0.44396583703582077,31004.637861109546
11150630,신월7동,18057,1.2297427505784548,14683.558810577435
11150640,신정1동,19547,0.7470264051610158,26166.411073229458
11150650,신정2동,18540,0.5255163171530407,35279.58960520875
11150660,신정3동,47738,2.754548211319523,17330.609718074917
11150720,신정4동,31780,0.9964211641805082,31894.143904637946
11150690,신정6동,23886,0.9402010020848998,25405.20585176222
11150700,신정7동,27878,1.2332344674099693,22605.595883602884
11160510,염창동,41267,1.7331960006624645,23809.771072762036
11160520,등촌1동,25115,0.6502691760345426,38622.46731908123
11160530,등촌2동,19139,0.9100055085114603,21031.740820235893
11160540,등촌3동,28785,1.0595967137809588,27165.995916773365
11160550,화곡본동,32276,0.9716741335846665,33216.89739844005
11160730,화곡1동,50724,1.1968823108623665,42380.10666516812
11160570,화곡2동,17007,0.4542915984530739,37436.30755644877
11160580,화곡3동,20741,0.5214825470148352,39773.14316409895
11160590,화곡4동,19339,0.8514314080997254,22713.51493030063
11160610,화곡6동,25771,1.0371605896406335,24847.646793954456
11160630,화곡8동,22870,0.5932512917643736,38550.2742555906
11160751,가양1동,33695,4.967140291298255,6783.581301101761
11160650,가양2동,13010,0.8232778610081215,15802.684143685066
11160660,가양3동,13471,0.4722836323139591,28523.114243867993
11160670,발산1동,35088,2.885594690241787,12159.711867594246
11160690,공항동,29271,10.854569517500266,2696.6523133697624
11160700,방화1동,40279,1.4745476089377292,27316.17463949989
11160710,방화2동,23088,6.153143014471739,3752.228730211328
11160761,방화3동,21501,2.55704531522031,8408.533033036028
11160740,우장산동,43933,1.2606780105633568,34848.70810141897
11170510,신도림동,36093,1.3917728253903447,25933.111598063533
11170520,구로1동,20313,1.0081581932762684,20148.62363414188
11170710,구로2동,28544,1.7021148007197326,16769.72668819417
11170540,구로3동,24515,1.0393467190630592,23586.93162768586
11170550,구로4동,21805,0.5241177855088603,41603.243780078476
11170560,구로5동,31341,1.011733416212574,30977.52777339815
11170610,고척1동,26495,1.1504031191114468,23031.05716582577
11170620,고척2동,25357,1.0248297392522088,24742.646538050638
11170720,개봉1동,34016,1.3193645867729775,25782.10779720823
11170640,개봉2동,29683,0.7819571161877605,37959.8821796164
11170650,개봉3동,19175,0.8278188949670586,23163.278969083003
11170670,오류1동,23441,0.726889696205976,32248.3591696939
11170730,오류2동,36487,3.058811870689682,11928.48777318663
11170690,수궁동,22249,2.6594406667940858,8366.044889740226
11170700,가리봉동,12521,0.4106990234027877,30487.045954624034
11170740,항동,16203,1.4459024577219028,11206.150119924894
11180510,가산동,27870,2.511019694772529,11099.07662533277
11180520,독산1동,49582,2.060413637171888,24064.10009402576
11180530,독산2동,18494,0.6167553251644022,29985.959172821476
11180540,독산3동,26033,0.9342992365553587,27863.663996965606
11180550,독산4동,15474,0.590577806629905,26201.458683829325
11180570,시흥1동,32971,1.5222423278402542,21659.494941767258
11180580,시흥2동,20034,1.3079179418489189,15317.474712273794
11180590,시흥3동,10159,1.2604652987393352,8059.722080536932
11180600,시흥4동,19060,0.8211057615013814,23212.600487845844
11180610,시흥5동,17885,1.3859532458878494,12904.475712341053
11190540,여의동,34490,8.431315762976489,4090.7019698458157
11190550,당산1동,21500,0.7447591137495362,28868.394629985673
11190560,당산2동,36735,1.5798609255969605,23252.046686400226
11190610,양평1동,18497,0.9742004529026015,18986.852187235938
11190620,양평2동,22782,2.8724957607941137,7931.082200692898
11190630,신길1동,20279,0.7223922690660178,28072.005845548087
11190650,신길3동,16997,0.5197018581685552,32705.29002897533
11190660,신길4동,12471,0.3223644262587665,38686.0304182241
11190670,신길5동,10575,0.49428992770579216,21394.326299714485
11190680,신길6동,18475,0.6178989287976847,29899.71197384802
11190690,신길7동,19587,0.6466933178418647,30287.92699662561
11190700,대림1동,15785,0.49861168961777486,31657.901988018864
11190710,대림2동,17436,0.5721284858428515,30475.671866457644
11190720,대림3동,24392,0.9210215832207652,26483.6356111248
11190730,영등포본동,22068,0.8457490056309335,26092.847704310512
11190740,영등포동,32124,1.3713763175514886,23424.64252070176
11190750,도림동,19572,0.5854553514027644,33430.388761679336
11190760,문래동,31483,1.7854027318506012,17633.556529493668
11200720,노량진1동,34265,1.612248540323989,21252.926669181095
11200520,노량진2동,8779,0.6001241793961171,14628.639040729846
11200530,상도1동,45967,1.4814326215651679,31028.74834188193
11200540,상도2동,27302,0.7784019319380727,35074.424766679615
11200550,상도3동,23836,0.6369043291425409,37424.77309282889
11200560,상도4동,29261,0.9388666695776191,31166.299697446975
11200630,사당1동,22643,0.6346975537700481,35675.259602786486
11200730,사당2동,28001,2.761137393163166,10141.11071377074
11200650,사당3동,23319,0.9070069132749782,25709.837112267254
11200660,사당4동,13729,0.43582241007370215,31501.363130175618
11200670,사당5동,13905,0.6816904735447765,20397.82062333112
11200680,대방동,34093,1.5437630705002814,22084.347430951053
11200690,신대방1동,24680,0.6747847301236534,36574.62728221106
11200700,신대방2동,22354,0.9697026209709901,23052.428153299534
11200710,흑석동,32147,1.7070338715154043,18832.080919086733
11210630,남현동,17469,3.2785714883746366,5328.23519692728
11210520,보라매동,23513,0.7561060164483479,31097.490945049572
11210540,청림동,14418,0.2969337246869572,48556.28984279302
11210570,행운동,29150,0.7177001089041155,40615.85004426191
11210580,낙성대동,18239,2.2611344935929494,8066.304791546555
11210610,중앙동,15600,0.38444261995657125,40578.22725732715
11210620,인헌동,25387,1.0882656672411826,23327.943501477483
11210640,서원동,23834,0.6470538205875297,36834.6484352083
11210650,신원동,18155,0.5445749476604281,33337.927273365174
11210660,서림동,25112,0.9405546751937022,26699.13898926537
11230510,신사동,24296,2.0576786457562597,11807.480264281246
11210690,신림동,24445,0.5407696952988511,45204.08634675933
11210710,난향동,14564,0.8207919534738227,17743.83866503692
11210720,조원동,21420,0.6661174476422647,32156.491435281416
11210730,대학동,28856,8.398948235532039,3435.668275454265
11210780,은천동,31974,0.7756372008168251,41222.88096332682
11210790,성현동,29888,0.6777191187233211,44100.86594030672
11210800,청룡동,37064,1.194718436297513,31023.209213095455
11210810,난곡동,24665,0.9716565800127106,25384.48306466195
11210820,삼성동,20209,2.6024639456227265,7765.333323441805
11210830,미성동,29133,1.358429909153305,21446.082572017494
