station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
076f1394-ac8e-4648-b535-c7b0e4df058c,6001104@HiroshimaArea,,3,,西条駅方面,市立中央図書館前@HiroshimaArea
3df9abff-5ffb-494b-b249-f78235d92e37,6001103@HiroshimaArea,,3,,広島大学方面,市立中央図書館前@HiroshimaArea
ce3435de-dcc7-4bd7-b40a-b0b9f84440b9,6001104@HiroshimaArea,,3,,西条駅方面,市立中央図書館前@HiroshimaArea
f61cab86-a744-4ce7-9671-02bcd3bca857,6001103@HiroshimaArea,,3,,広島大学方面,市立中央図書館前@HiroshimaArea
286b3022-a84d-44be-b7bf-6a56c6f893fe,6001203@HiroshimaArea,,3,,広島大学方面,鏡山公園入口@HiroshimaArea
c7be291f-892d-4238-b827-9aee152b6b72,6001204@HiroshimaArea,,3,,西条駅方面,鏡山公園入口@HiroshimaArea
1b690eb2-c8e5-4029-b704-c29907720bf3,6001303@HiroshimaArea,,3,,広島大学方面,池ノ上学生宿舎前@HiroshimaArea
fd4a935f-19ed-4f20-95a2-ad05148a2b3e,6001304@HiroshimaArea,,3,,西条駅方面,池ノ上学生宿舎前@HiroshimaArea
d2ac8b48-0dcf-4fe0-b211-77ac3eabfb61,6001402@HiroshimaArea,,3,2,西条駅方面,広大中央口@HiroshimaArea
5c6dd77c-9a4e-4e25-a6e6-2bc4bb04149d,6001403@HiroshimaArea,,3,3,八本松駅・東広島駅方面,広大中央口@HiroshimaArea
b25f65cd-ef8a-4e34-8880-6ee57f05e88e,6001403@HiroshimaArea,,3,3,八本松駅・東広島駅方面,広大中央口@HiroshimaArea
4ea6ed11-6a44-4d0e-84be-aa52aa8304fe,6001501@HiroshimaArea,,3,,各方面,広大北口@HiroshimaArea
8dbe7a98-1c8c-4b45-9648-f7db5a2f570f,6001501@HiroshimaArea,,3,,各方面,広大北口@HiroshimaArea
91708d42-7e47-4b58-90b7-11407fd3ed50,6001501@HiroshimaArea,,3,,各方面,広大北口@HiroshimaArea
15073861-91cc-46fd-bfbd-fa03a0d8696b,6001601@HiroshimaArea,,3,,各方面,広大二神口@HiroshimaArea
b988b981-5ae9-4978-914d-ce756c285e02,6001601@HiroshimaArea,,3,,各方面,広大二神口@HiroshimaArea
1cf63b63-c4ca-4164-aa71-52078941e610,6001601@HiroshimaArea,,3,,各方面,広大二神口@HiroshimaArea
5cfc2ce8-e5a0-4c5e-a473-6e8375bfe112,6001601@HiroshimaArea,,3,,各方面,広大二神口@HiroshimaArea
0583f49d-d6c1-45ee-a59d-20618378150b,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
ebdab35b-545f-44d7-b0c7-f2865100ac26,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
7b73032b-44fa-4286-9e1f-b3a0a2b7dec7,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
633a2499-4103-4dcb-945c-72b6547c1bfd,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
f86da561-2304-4d46-9b49-df52831dee57,6001801@HiroshimaArea,,3,,各方面,広大西口@HiroshimaArea
75f0e8f7-e017-42c1-91cd-dcaeb054fc65,6001901@HiroshimaArea,,3,1,西条駅方面、広島方面,大学会館前@HiroshimaArea
3504f668-5323-4f3b-ab43-9772342f176c,6001902@HiroshimaArea,,3,2,八本松駅・東広島駅方面,大学会館前@HiroshimaArea
1604764a-3d9e-452b-9839-38c77d2ba81b,6001902@HiroshimaArea,,3,2,八本松駅・東広島駅方面,大学会館前@HiroshimaArea
7b3256fd-10b7-4207-9a14-37b95b90c4f0,6002001@HiroshimaArea,,3,,各方面,ががら口@HiroshimaArea
2d9993b3-b5cc-4e37-8ce4-3d5aa2a94e5d,6002001@HiroshimaArea,,3,,各方面,ががら口@HiroshimaArea
1ed1aac2-effa-4505-a72e-8fcfb1de0f0d,6002001@HiroshimaArea,,3,,各方面,ががら口@HiroshimaArea
7081d314-ae7f-4a99-ab5a-d8b1cddfc5ba,6002101@HiroshimaArea,,3,,各方面,広大東口@HiroshimaArea
0e7a503f-8e83-4c05-a78f-ef765aead112,6002101@HiroshimaArea,,3,,各方面,広大東口@HiroshimaArea
8baba887-2806-4e7e-9543-304855e2e654,6002101@HiroshimaArea,,3,,各方面,広大東口@HiroshimaArea
01292e1a-1e25-481c-b16f-e3f7015e0b59,6002201@HiroshimaArea,,3,,各方面,山中池@HiroshimaArea
3a78f6bd-5ff8-4a30-a660-96407b77f9d1,6002201@HiroshimaArea,,3,,各方面,山中池@HiroshimaArea
143be64a-b4ae-4fbb-b199-bf1610226bdf,6002201@HiroshimaArea,,3,,各方面,山中池@HiroshimaArea
0852b9b6-ea2c-49b1-8455-c47c55c138d1,6002201@HiroshimaArea,,3,,各方面,山中池@HiroshimaArea
798ff484-e6f1-4789-b39a-9a9d5509aefd,6205002@HiroshimaArea,,3,2,②広島大学・吉川方面,八本松駅@HiroshimaArea
b5401d70-7716-45ab-bb94-da39bf98cec2,@HiroshimaArea,,1,,,八本松駅@HiroshimaArea
f4520f9f-af28-499b-aa1a-c143d3794626,6002404@HiroshimaArea,,3,,広島大学方面,上曽場@HiroshimaArea
c3be7269-02c4-4e12-a3dc-01f3b7123fcd,6002403@HiroshimaArea,,3,,八本松駅方面,上曽場@HiroshimaArea
45feceaa-99ba-4d87-992d-619f5a85a4f2,6002504@HiroshimaArea,,3,,広島大学方面,中学校前（八）@HiroshimaArea
2cc70ec4-a62f-4b92-a375-12fbc555cbe3,6002503@HiroshimaArea,,3,,八本松駅方面,中学校前（八）@HiroshimaArea
8b767fb7-f667-47a0-bb5f-64333b69a3bb,6002604@HiroshimaArea,,3,,広島大学方面,日興団地入口@HiroshimaArea
22ec505b-669a-4ecf-bd98-099dae926be8,6002603@HiroshimaArea,,3,,八本松駅方面,日興団地入口@HiroshimaArea
102d0639-e8b2-4935-bf4c-c54688625104,6002704@HiroshimaArea,,3,,広島大学方面,記念橋@HiroshimaArea
f197372b-e827-44cf-87a1-6a6c35009af5,6002703@HiroshimaArea,,3,,八本松駅方面,記念橋@HiroshimaArea
183c5e3d-b40b-4d8c-88d0-669111f5a1b5,6002804@HiroshimaArea,,3,,広島大学方面,宮西@HiroshimaArea
4a44c770-fb76-42af-ba60-6a4b1415b55c,6002803@HiroshimaArea,,3,,八本松駅方面,宮西@HiroshimaArea
66439e17-8f08-49f0-9292-d0f078204509,6002904@HiroshimaArea,,3,,広島大学方面,宮の前（八）@HiroshimaArea
