trans_id,lang,translation
日興団地入口,en,Nikko Danchi-iriguchi
日興団地入口,ko,닛코 단치 이리구치
日興団地入口,zh-cn,日兴团地入口
日興団地入口,zh-tw,日興團地入口
記念橋,ja,記念橋
記念橋,ja-Hrkt,きねんばし
記念橋,en,Kinembashi
記念橋,ko,기넨바시 （하치혼마쓰 요시카와 센) （기넨바시 다리)（하치혼마쓰 요시카와 선)
記念橋,zh-cn,记念桥（八本松吉川线）
記念橋,zh-tw,記念橋（八本松吉川線）
宮西,ja,宮西
宮西,ja-Hrkt,みやにし
宮西,en,Miyanishi
宮西,ko,미야니시
宮西,zh-cn,宫西
宮西,zh-tw,宮西
宮の前,ja,宮の前
宮の前,ja-Hrkt,みやのまえ
宮の前,en,Miyanomae
宮の前,ko,미야노 마에
宮の前,zh-cn,宫之前
宮の前,zh-tw,宮之前
農業技術センター,ja,農業技術センター
農業技術センター,ja-Hrkt,のうぎょうぎじゅつせんたーまえ
農業技術センター,en,Nogyo Gijutsu Center
農業技術センター,ko,노교 기주쓰 센터
農業技術センター,zh-cn,农业技术中心
農業技術センター,zh-tw,農業技術中心
農業技術センター前,ja,農業技術センター前
農業技術センター前,ja-Hrkt,のうぎょうぎじゅつせんたーまえ
農業技術センター前,en,Nogyo Gijutsu Center
農業技術センター前,ko,노교 기주쓰 센터
農業技術センター前,zh-cn,农业技术中心
農業技術センター前,zh-tw,農業技術中心
下原,ja,下原
下原,ja-Hrkt,しもばら
下原,en,Shimobara
下原,ko,시모바라
下原,zh-cn,下原
下原,zh-tw,下原
千野丸,ja,千野丸
千野丸,ja-Hrkt,せんのまる
千野丸,en,Sennomaru
千野丸,ko,센노마루
千野丸,zh-cn,千野丸
千野丸,zh-tw,千野丸
西側,ja,西側
西側,ja-Hrkt,にしがわ
西側,en,Nishigawa
西側,ko,니시가와
西側,zh-cn,西侧
西側,zh-tw,西側
下見大池,ja,下見大池
下見大池,ja-Hrkt,したみおおいけ
下見大池,en,Shitamioike
下見大池,ko,시타미 오이케
下見大池,zh-cn,下见大池
下見大池,zh-tw,下見大池
東広島駅,ja,東広島駅
東広島駅,ja-Hrkt,ひがしひろしまえき
東広島駅,en,Higashi-hiroshima Sta.
東広島駅,ko,히가시히로시마 역
東広島駅,zh-cn,东广岛站
東広島駅,zh-tw,東廣島站
末釜,ja,末釜
末釜,ja-Hrkt,すえがま
末釜,en,Suegama
末釜,ko,스에가마
末釜,zh-cn,末釜
末釜,zh-tw,末釜
千年池,ja,千年池
千年池,ja-Hrkt,せんねんいけ
千年池,en,Sennenike
千年池,ko,센넨이케
千年池,zh-cn,千年池
千年池,zh-tw,千年池
松原池,ja,松原池
松原池,ja-Hrkt,まつばらいけ
松原池,en,Matsubaraike
松原池,ko,마쓰바라이케
松原池,zh-cn,松原池
松原池,zh-tw,松原池
扇ノ池,ja,扇ノ池
扇ノ池,ja-Hrkt,おうぎのいけ
扇ノ池,en,Oginoike
扇ノ池,ko,오기노이케
扇ノ池,zh-cn,扇之池
扇ノ池,zh-tw,扇之池
三升原,ja,三升原
三升原,ja-Hrkt,さんじょうばら
三升原,en,Sanjobara
三升原,ko,산조바라
三升原,zh-cn,三升原
三升原,zh-tw,三升原
東広島運動公園,ja,東広島運動公園
東広島運動公園,ja-Hrkt,ひがしひろしまうんどうこうえん
東広島運動公園,en,Higashi-hiroshima Undo Koen (Higashi-Hiroshima Sports Park)
東広島運動公園,ko,히가시히로시마 운동 공원
東広島運動公園,zh-cn,东广岛运动公园
東広島運動公園,zh-tw,東廣島運動公園
栄町,ja,栄町
栄町,ja-Hrkt,さかえまち
栄町,en,Saijo Sakaemachi
栄町,ko,사이조 사카에마치
栄町,zh-cn,西条荣町
栄町,zh-tw,西條榮町
西条朝日町,ja,西条朝日町
西条朝日町,ja-Hrkt,さいじょうあさひまち
西条朝日町,en,Saijo Asahimachi
西条朝日町,ko,사이조 아사히마치
西条朝日町,zh-cn,西条朝日町
西条朝日町,zh-tw,西條朝日町
大坪通,ja,大坪通
大坪通,ja-Hrkt,おおつぼどおり
大坪通,en,Otsubo-dori
大坪通,ko,오쓰보 도리
大坪通,zh-cn,大坪通
大坪通,zh-tw,大坪通
助実,ja,助実
助実,ja-Hrkt,すけざね
助実,en,Sukezane
助実,ko,스케자네
助実,zh-cn,助实
助実,zh-tw,助實
和泉,ja,和泉
和泉,ja-Hrkt,いずみ
和泉,en,Izumi
和泉,ko,이즈미
和泉,zh-cn,和泉
和泉,zh-tw,和泉
卯之留,ja,卯之留
卯之留,ja-Hrkt,うのとめ
卯之留,en,Unotome
卯之留,ko,우노토메
卯之留,zh-cn,卯之留
卯之留,zh-tw,卯之留
御薗宇,ja,御薗宇
御薗宇,ja-Hrkt,みそのう
御薗宇,en,Misono
御薗宇,ko,미소노우
御薗宇,zh-cn,御薗宇
御薗宇,zh-tw,御薗宇
産総研前,ja,産総研前
産総研前,ja-Hrkt,さんそうけんまえ
産総研前,en,Sansoken-mae
産総研前,ko,산소켄 마에
産総研前,zh-cn,产总研前
産総研前,zh-tw,產總研前
中国電力前,ja,中国電力前
中国電力前,ja-Hrkt,ちゅうごくでんりょくまえ
中国電力前,en,Chugoku Denryoku-mae
中国電力前,ko,주고쿠 덴료쿠 마에
中国電力前,zh-cn,中国电力前
中国電力前,zh-tw,中國電力前
サイエンス北,ja,サイエンス北
サイエンス北,ja-Hrkt,さいえんすきた
サイエンス北,en,Science-kita
サイエンス北,ko,사이엔스 키타
サイエンス北,zh-cn,Science北
サイエンス北,zh-tw,Science北
酒類総合研究所前,ja,酒類総合研究所前
酒類総合研究所前,ja-Hrkt,しゅるいそうごうけんきゅうしょまえ
酒類総合研究所前,en,Shurui Sogokenkyusho-mae
酒類総合研究所前,ko,슈루이 소고켄큐쇼 마에
酒類総合研究所前,zh-cn,酒类总合研究所前
酒類総合研究所前,zh-tw,酒類總合研究所前
水源地前,ja,水源地前
水源地前,ja-Hrkt,すいげんちまえ
水源地前,en,Suigenchi-mae
水源地前,ko,스이겐치 마에
水源地前,zh-cn,水源池前
水源地前,zh-tw,水源池前
西条農高前,ja,西条農高前
西条農高前,ja-Hrkt,さいじょうのうこうまえ
西条農高前,en,Saijo Noko-mae (Saijyo Agricultural High School)
西条農高前,ko,사이조 농업고등학교
西条農高前,zh-cn,西条农业高中前
西条農高前,zh-tw,西條農業高中前
東子,ja,東子
東子,ja-Hrkt,あずまこ
東子,en,Azumako
東子,ko,아즈마코
東子,zh-cn,东子
東子,zh-tw,東子
小滝原,ja,小滝原
小滝原,ja-Hrkt,こたきばら
小滝原,en,Kotakibara
小滝原,ko,고타키바라
小滝原,zh-cn,小泷原
小滝原,zh-tw,小瀧原
早稲木地蔵前,ja,早稲木地蔵前
早稲木地蔵前,ja-Hrkt,わせぎじぞうまえ
早稲木地蔵前,en,Wasegi Jizo-mae
早稲木地蔵前,ko,와세기 지조 마에
早稲木地蔵前,zh-cn,早稻木地藏前
