daiya_sid,bin_no,course_sid
f7c3e82a-a747-479e-8168-1dfa744fd0f1,1,ad5e7af1-79a4-479c-8a46-06d248db3518
c2ddd22d-9466-4fd7-87d5-2d506c77b241,1,ad5e7af1-79a4-479c-8a46-06d248db3518
670b86a1-64f4-4b9c-b06e-f87872e00cae,1,ad5e7af1-79a4-479c-8a46-06d248db3518
72db896b-9e48-4617-8c22-f7366ea53e59,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
ed535162-68ce-4082-b05b-f7c5eca1b2fc,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
8903af28-b45f-4fcd-a35a-d0038a5e5488,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
a316ed58-bd88-4c50-9d0d-d58068251388,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
484e8cfe-f2df-40ec-82e6-ddd09f7ed2ee,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
cefe2d40-c382-4e5d-9eca-309710a66d04,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
02044c14-4c00-47db-befb-07f3d6b08708,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
b159338d-31b3-41e5-987f-36e9acbcc4d1,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
38fcaad4-ff05-4d4a-bcaa-3847ef508e9e,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
7252e4e9-1985-47aa-b3f3-53e5926e89de,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
deb879ee-eb16-4a9e-b124-5a135626ccdd,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
2e489959-f573-41f2-a4ec-5fbdbeca282e,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
c4d1ed40-f612-4aae-a6aa-b6bd34de0347,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
7626e0e4-519f-442f-ae65-a81ee2cb8c18,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
e9f5bada-0373-4b88-ae11-75343ae2fec8,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
080a7496-67aa-41cf-88a4-854f95afeee6,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
2c70819e-e9dd-4924-8e44-87cc7a8b522a,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
86986d5d-92e8-4fdb-9a48-87d20bb8d47a,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
2090fab2-b5ac-4a2a-a5bf-c4563344de4b,11,90962eef-521a-49cf-9376-0bb224e18a34
b8ba595b-c84a-4199-ab5f-d09cffcd5dc0,7,90962eef-521a-49cf-9376-0bb224e18a34
fea60f09-67f3-4cc9-bd43-dc2b9e9ab74f,11,90962eef-521a-49cf-9376-0bb224e18a34
49308abe-6389-4530-a568-e2e904e5e281,5,90962eef-521a-49cf-9376-0bb224e18a34
3a3f2bcb-4874-4147-90a1-de734722e483,1,90962eef-521a-49cf-9376-0bb224e18a34
121dd458-26be-46b1-966f-f79d3e5226c9,2,90962eef-521a-49cf-9376-0bb224e18a34
72458d90-4364-4358-80ae-f65ac6c36571,3,90962eef-521a-49cf-9376-0bb224e18a34
2df02b95-1e6d-4f3c-b9ea-f9a7cfae5436,1,90962eef-521a-49cf-9376-0bb224e18a34
2753ec93-9b70-457f-91c4-1b759655c53d,8,90962eef-521a-49cf-9376-0bb224e18a34
b38d63ea-c12d-4399-8b0f-1bedc0ef455a,8,90962eef-521a-49cf-9376-0bb224e18a34
49ecdc68-7d9e-4ad7-9a97-2b6b89593562,12,90962eef-521a-49cf-9376-0bb224e18a34
9e8b956e-3a36-4fec-9ba4-2aec426ea0c2,10,90962eef-521a-49cf-9376-0bb224e18a34
97c1a67a-a5ae-4902-9ee9-18e5ddb62bd0,6,90962eef-521a-49cf-9376-0bb224e18a34
e6d31036-4549-40f2-a77c-465111cf2c4c,11,90962eef-521a-49cf-9376-0bb224e18a34
80f9b415-b52f-4d0b-af41-46a7cc45666f,9,90962eef-521a-49cf-9376-0bb224e18a34
c212a590-c044-4ee6-b9c9-42a591b69ee1,2,90962eef-521a-49cf-9376-0bb224e18a34
b0192688-d49c-4d0b-9f48-3ce199dbea3d,6,90962eef-521a-49cf-9376-0bb224e18a34
00a6b05d-e036-40be-9cd8-382dd2efe3d6,1,90962eef-521a-49cf-9376-0bb224e18a34
c59d1815-0d6a-4ca1-b0a6-383332365c7c,9,90962eef-521a-49cf-9376-0bb224e18a34
3dbcf04d-13ae-47f7-a40c-61694128388a,4,90962eef-521a-49cf-9376-0bb224e18a34
db1c9fe0-16c8-4b60-949d-b193f2c4dc3e,3,90962eef-521a-49cf-9376-0bb224e18a34
40cca971-13e5-4db4-9d78-b8e780474589,5,90962eef-521a-49cf-9376-0bb224e18a34
376ac0f7-7e20-4416-982b-be6d374bdba6,10,90962eef-521a-49cf-9376-0bb224e18a34
5717e179-923f-45fa-970a-9c7ba2576c90,7,90962eef-521a-49cf-9376-0bb224e18a34
751ea515-e144-4d11-bbed-915089906d29,9,90962eef-521a-49cf-9376-0bb224e18a34
