route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3838942938,13_日祝(共通),f48bc6dc-959d-47cc-96d7-42dc79d82590,昭和町経由,,,,2302 9,0,0
3838942938,13_日祝(共通),80983279-7092-4124-8c97-4349e42348b7,昭和町経由,,,,2302 9,0,0
3838942938,13_日祝(共通),99b300c0-60de-4639-aa2c-6583c35be08c,昭和町経由,,,,2302 9,0,0
3838942938,13_平日(共通),a14197fe-41e8-4469-84d6-9533b9464fbf,昭和町経由,,,,2302 9,0,0
3838942938,13_土曜(共通),af1e60f7-525f-40d5-92f9-bd33da5535bc,昭和町経由,,,,2302 9,0,0
3838942938,13_土曜(共通),bfad64cd-9f8b-49a3-b261-cf4be9edec03,昭和町経由,,,,2302 9,0,0
3838942938,13_平日(共通),f7221a80-5e80-4d9b-8033-e8faf9901e10,昭和町経由,,,,2302 9,0,0
3838942938,13_土曜(共通),5823d199-70fa-4f92-9a05-f6c04d7f0da8,昭和町経由,,,,2302 9,0,0
1261976881,11_平日(共通),a68ae5c1-1882-4aba-92fa-fe013c6c87e4,,,,,99023 0,0,0
1261976881,11_日祝(共通),10666336-60b8-44f8-8e54-fed4108f5bdf,,,,,99023 0,0,0
1261976881,11_平日(共通),426be193-343e-4adc-b04f-f30b0cb16b96,,,,,99023 0,0,0
1261976881,13_日祝(共通),e818d109-ea3d-4dcf-a32d-d06c8e606f75,,,,,99023 0,0,0
1261976881,11_平日(共通),e4542ee2-d34c-413a-9e98-d498177482a6,,,,,99023 0,0,0
1261976881,13_土曜(共通),55fd93a5-a406-42f0-9453-ae455f2be5d8,,,,,99023 0,0,0
1261976881,13_土曜(共通),a1c4128e-d31f-4382-8871-9651f2638402,,,,,99023 0,0,0
1261976881,13_日祝(共通),52795518-adca-4dbe-abff-9cf0c7f99a24,,,,,99023 0,0,0
1261976881,11_日祝(共通),e232f2c3-9a7b-42c6-898f-40c2a0e56f4c,,,,,99023 0,0,0
1261976881,13_土曜(共通),428929a1-b3f5-4330-ad42-4947df7a5911,,,,,99023 0,0,0
1261976881,13_日祝(共通),37b17828-3104-46e9-8e33-4f72b0ba842e,,,,,99023 0,0,0
1261976881,11_土曜(共通),7881a9ae-c4c9-4935-98e4-2158072767f5,,,,,99023 0,0,0
1261976881,11_平日(共通),6c13d4ef-7eca-4a09-a2b9-23ba386aeb01,,,,,99023 0,0,0
1261976881,11_土曜(共通),e1fd2977-c768-40d1-a2f6-2b20556a88c4,,,,,99023 0,0,0
103994292,13_平日(共通),e5e14dba-7e1e-4f49-8ac4-02f3170bd2a7,,,,,2402 9,0,0
103994292,13_土曜(共通),039b38a1-88bd-48aa-92d3-4b773f3b3f2d,,,,,2402 9,0,0
103994292,13_平日(共通),a3b37fe4-66ef-40eb-b61c-40463cc9db85,,,,,2402 9,0,0
103994292,13_土曜(共通),295ae5e2-e2ef-4aa2-b2e9-45659cc243ee,,,,,2402 9,0,0
103994292,13_平日(共通),f25a2172-7b6c-479d-91b0-2d80a58ec671,,,,,2402 9,0,0
103994292,13_平日(共通),2188a457-9170-4c21-a66a-31841120bd7c,,,,,2402 9,0,0
103994292,13_平日(共通),4470c32d-59e6-452e-ad22-31426d927a1e,,,,,2402 9,0,0
103994292,13_日祝(共通),a6a9db41-22ac-499d-b7ec-323db92462a2,,,,,2402 9,0,0
103994292,13_土曜(共通),640b9a7f-1f7f-4d4d-8d13-364744828cb8,,,,,2402 9,0,0
103994292,13_日祝(共通),ff696a13-e7c3-4223-9717-a2e23dd089c8,,,,,2402 9,0,0
103994292,13_平日(共通),3ad553b5-0b1c-4173-a68a-8f4f3c7878be,,,,,2402 9,0,0
103994292,13_日祝(共通),2a247aeb-809e-4154-9798-90b2183c9eeb,,,,,2402 9,0,0
103994292,13_土曜(共通),77cbbd30-075f-4ddc-8505-572a85485f2b,,,,,2402 9,0,0
103994292,13_土曜(共通),ad345464-23b8-4c94-85e9-5b255af8d1df,,,,,2402 9,0,0
103994292,13_日祝(共通),1aec6e2c-caf6-4bde-b322-70394622e4ce,,,,,2402 9,0,0
103994292,13_平日(共通),341f707b-d3e9-4762-a943-762d05933990,,,,,2402 9,0,0
103994292,13_平日(共通),97ed09c5-79c6-4b67-a2d4-7995da3f975a,,,,,2402 9,0,0
103994292,13_平日(共通),b68985aa-1540-4b90-b46d-b44416dcc466,,,,,2402 9,0,0
103994292,13_平日(共通),bb801d35-6ef1-4fc7-81b7-c070418e7691,,,,,2402 9,0,0
103994292,13_日祝(共通),1c13acc4-75db-4be3-9b63-d5645ac3551e,,,,,2402 9,0,0
103994292,13_日祝(共通),f3d646f6-f93c-411e-8a5a-d36d174d0c75,,,,,2402 9,0,0
103994292,13_土曜(共通),f64d2ca6-75ad-42be-bbab-c310a507151d,,,,,2402 9,0,0
103994292,13_日祝(共通),c6d8a705-3bd4-4593-913f-c924f07d2071,,,,,2402 9,0,0
103994292,13_平日(共通),5e892b27-c2ad-45eb-a0a5-cb86795c50c4,,,,,2402 9,0,0
103994292,13_平日(共通),1b882a8a-c99a-4b41-99a1-ed8d6f247923,,,,,2402 9,0,0
103994292,13_土曜(共通),050476b8-0ca6-473f-b1ab-f0c0a16703af,,,,,2402 9,0,0
103994292,13_日祝(共通),d03f61eb-87e0-4026-a839-f0faabe718a9,,,,,2402 9,0,0
103994292,13_日祝(共通),993dc65b-581e-48ec-9ad4-fbd54f9a8c96,,,,,2402 9,0,0
103994292,13_平日(共通),bb86581e-aa2c-4019-aaef-f835a4b29453,,,,,2402 9,0,0
103994292,13_土曜(共通),086a114a-1284-4238-b7ba-ead8702b2637,,,,,2402 9,0,0
103994292,13_土曜(共通),68f1b709-8e69-491d-917d-da78d485b39a,,,,,2402 9,0,0
103994292,13_土曜(共通),79e0fd68-1ab6-4cbf-bdd1-da0518c87e29,,,,,2401 0,0,0
103994292,13_平日(共通),fdd1d9da-ec5e-4e27-8244-daa5a6c12b76,,,,,2401 0,0,0
103994292,13_土曜(共通),a78e2c72-f4c7-489a-a42f-dab789d60842,,,,,2401 0,0,0
103994292,13_日祝(共通),e294dd8a-0ae9-423b-9c22-dbc47bf6c858,,,,,2401 0,0,0
103994292,13_土曜(共通),21523c97-8cad-45cb-a796-dc0b38a61f9c,,,,,2401 0,0,0
103994292,13_土曜(共通),9af0af2e-fc62-49f1-a762-d848ee51a909,,,,,2401 0,0,0
103994292,13_平日(共通),752b81cd-dfcd-43c0-9234-d86e0bb59e5c,,,,,2401 0,0,0
103994292,13_日祝(共通),43b9b490-236a-435e-8205-d9dbbc5c5202,,,,,2401 0,0,0
103994292,13_平日(共通),9b2241f0-cab3-4bc5-89dd-dc743a792c57,,,,,2401 0,0,0
103994292,13_平日(共通),ff751cf4-b9a5-4781-93d6-de4d5932b736,,,,,2401 0,0,0
103994292,13_平日(共通),a7eb997f-d005-4150-91bc-ded38727dd14,,,,,2401 0,0,0
103994292,13_平日(共通),1418d57c-d863-47bf-b9f2-e008ebd94641,,,,,2401 0,0,0
103994292,13_平日(共通),0313faef-4e5b-404a-bf76-e8ae83d9888f,,,,,2401 0,0,0
103994292,13_平日(共通),d69ea7bb-a850-4931-a78a-e399b2adeadd,,,,,2401 0,0,0
103994292,13_平日(共通),ce4371f5-9ff3-4693-8257-e59975b4169c,,,,,2401 0,0,0
103994292,13_平日(共通),06750128-bf72-4a12-8845-f8fe3a60db96,,,,,2401 0,0,0
103994292,13_土曜(共通),ac4f44aa-3d4e-4eb9-bb5f-f72f64bc64e1,,,,,2401 0,0,0
103994292,13_平日(共通),d0b7a1d1-bc57-4e4d-ab6f-f9d4bb553f4c,,,,,2401 0,0,0
103994292,13_土曜(共通),69b00692-6776-45c7-b8cf-f9de83e46ac8,,,,,2401 0,0,0
103994292,13_土曜(共通),83aa09c4-9a1d-4a86-a87c-fad63b626ab7,,,,,2401 0,0,0
103994292,13_土曜(共通),6792b29f-5f95-4bd6-bd24-fbbdb736d895,,,,,2401 0,0,0
103994292,13_日祝(共通),9875f57f-31db-42ed-8a2d-fda874219ed5,,,,,2401 0,0,0
103994292,13_平日(共通),0c2ad93d-a6b3-4c9b-93ed-fef259c76794,,,,,2401 0,0,0
103994292,13_土曜(共通),52775159-17d3-4171-bfc6-ff52f608a0d4,,,,,2401 0,0,0
103994292,13_日祝(共通),853b7f8e-7b5a-4390-9d92-ff95a342db6c,,,,,2401 0,0,0
103994292,13_土曜(共通),5dcc2dd1-3417-4630-8a64-f13469cf512d,,,,,2401 0,0,0
103994292,13_土曜(共通),4bb02034-865a-4723-b63c-ef40b5890964,,,,,2401 0,0,0
103994292,13_日祝(共通),51f7e279-b6c0-43a7-ad01-ed7771e3d2cb,,,,,2401 0,0,0
103994292,13_日祝(共通),b5045a21-883a-4d14-a924-ed26844ab195,,,,,2401 0,0,0
103994292,13_平日(共通),9b505ba7-3bd9-4059-bb28-f349b355258c,,,,,2401 0,0,0
103994292,13_平日(共通),00da8712-9818-43b1-a3bd-f1da9e5c0fb2,,,,,2401 0,0,0
103994292,13_土曜(共通),51b388c1-5972-413b-89a6-f207aab71991,,,,,2401 0,0,0
103994292,13_平日(共通),2eecd2f6-159a-4be4-a348-f25572c48ed6,,,,,2401 0,0,0
103994292,13_日祝(共通),0b3a4da2-3d1d-4045-a247-f395d338ae33,,,,,2401 0,0,0
103994292,13_平日(共通),e40e95b1-0fbf-4a05-bcbd-f4e00b3462ad,,,,,2401 0,0,0
103994292,13_日祝(共通),1a0b9662-ebd4-44f2-bb83-cb329ae02118,,,,,2401 0,0,0
103994292,13_土曜(共通),aed9a73d-5cf3-4a31-a776-c998bd38234b,,,,,2401 0,0,0
103994292,13_日祝(共通),9e633ac1-a586-4b4c-9513-c9f9bd90e7c9,,,,,2401 0,0,0
103994292,13_日祝(共通),7facab14-5e7e-4124-bf31-c79317b86189,,,,,2401 0,0,0
103994292,13_土曜(共通),f1f9a025-bafc-44e8-b9a7-c4cad896ca75,,,,,2401 0,0,0
103994292,13_平日(共通),0ec22f4f-ab4f-46ea-98ba-c60eb9a542a6,,,,,2401 0,0,0
103994292,13_土曜(共通),67ae1fe1-aab8-4127-8f4d-c74a419f1a4a,,,,,2401 0,0,0
103994292,13_平日(共通),8bdc3d9c-b2ac-48e6-b663-d3e6c9760a99,,,,,2401 0,0,0
103994292,13_平日(共通),366df02a-9a69-4691-810c-d2a3f15ae7a7,,,,,2401 0,0,0
103994292,13_平日(共通),37fe009c-d157-4791-9e3e-d2c104c101a9,,,,,2401 0,0,0
103994292,13_日祝(共通),1559de6d-b022-45fa-b20f-d2dea2f976d1,,,,,2401 0,0,0
103994292,13_土曜(共通),b5f929a8-2370-4581-b7aa-d1408a64dd01,,,,,2401 0,0,0
103994292,13_平日(共通),b9572529-9a89-4371-b702-d1a4fd3d8ff2,,,,,2401 0,0,0
103994292,13_平日(共通),b44de6bb-3247-4056-b8b1-d27e272e5d7f,,,,,2401 0,0,0
103994292,13_平日(共通),0df76bdb-8a81-430b-8833-d489fe10d7fc,,,,,2401 0,0,0
103994292,13_平日(共通),0aaeaba8-512e-4a82-80e9-d4d849c26b99,,,,,2401 0,0,0
103994292,13_平日(共通),42ee1476-577a-4ee3-a7c1-d6007f633bb1,,,,,2401 0,0,0
103994292,13_平日(共通),49824b1a-476e-4419-a95d-d6bb1d6d5eb5,,,,,2401 0,0,0
103994292,13_平日(共通),3821ec54-8e45-4710-8b58-d089b51d655f,,,,,2401 0,0,0
103994292,13_平日(共通),ca41a2b4-7f08-4285-8fdc-cf2e91536b72,,,,,2401 0,0,0
103994292,13_土曜(共通),cf2d1786-1452-477f-bc0e-cca89a9252d0,,,,,2401 0,0,0
103994292,13_平日(共通),c244c803-cfe3-4962-9bb8-cc4b619647ed,,,,,2401 0,0,0
103994292,13_日祝(共通),c81de643-4b81-4fb9-b1ba-ce2b468ee15a,,,,,2401 0,0,0
103994292,13_日祝(共通),7f51b26f-bbff-4058-863c-c075166bc4b7,,,,,2401 0,0,0
103994292,13_日祝(共通),9f7f568d-9b94-4447-98c0-c01fd169cf19,,,,,2401 0,0,0
103994292,13_平日(共通),417ada21-68fc-4ce2-84fa-c19047e25739,,,,,2401 0,0,0
103994292,13_土曜(共通),58b4bff4-83b2-4e6e-94af-c243e62f69aa,,,,,2401 0,0,0
103994292,13_土曜(共通),bf4d0a06-7e6f-4b0f-8d05-bc8fd6b79d51,,,,,2401 0,0,0
103994292,13_日祝(共通),98bf55c4-c43b-4ef6-aa0c-bcb7e86eb0d4,,,,,2401 0,0,0
