trans_id,lang,translation
Ａシティ中央,ja-Hrkt,Aしてぃｰちゅうおう
Ａシティ中央,en,A City-chuo
Ａシティ中央,ko,A 시티 추오
Ａシティ中央,zh-cn,A.CITY中央
Ａシティ中央,zh-tw,A.CITY中央
沼田料金所前,ja,沼田料金所前
沼田料金所前,ja-Hrkt,ぬまたりょうきんじょまえ
沼田料金所前,en,Numata Ryokinjo-mae
沼田料金所前,ko,누마타 료킨조 마에
沼田料金所前,zh-cn,沼田收费站前
沼田料金所前,zh-tw,沼田收費站前
新白島駅,ja,新白島駅
新白島駅,ja-Hrkt,しんはくしまえき
新白島駅,en,Shin-hakushima Sta.
新白島駅,ko,신하쿠시마 역
新白島駅,zh-cn,新白岛站
新白島駅,zh-tw,新白島站
合同庁舎前,ja,合同庁舎前
合同庁舎前,ja-Hrkt,ごうどうちょうしゃまえ
合同庁舎前,en,Godochosha-mae (Joint Government Building)
合同庁舎前,ko,합동청사
合同庁舎前,zh-cn,合同政府办公楼前
合同庁舎前,zh-tw,合同政府辦公樓前
和知,ja,和知
和知,ja-Hrkt,わちばすすとつぷ
和知,en,Wachi
和知,ko,와치
和知,zh-cn,和知
和知,zh-tw,和知
和知ＢＳ,ja,和知ＢＳ
和知ＢＳ,ja-Hrkt,わちばすすとつぷ
和知ＢＳ,en,Wachi
和知ＢＳ,ko,와치
和知ＢＳ,zh-cn,和知
和知ＢＳ,zh-tw,和知
庄原中学校前,ja,庄原中学校前
庄原中学校前,ja-Hrkt,しようばらちゆうがつこうまえ
庄原中学校前,en,Shobara Chugakko-mae (Shobara Junior High School)
庄原中学校前,ko,쇼바라 중학교
庄原中学校前,zh-cn,庄原中学前
庄原中学校前,zh-tw,莊原中學前
庄原駅,ja,庄原駅
庄原駅,ja-Hrkt,しようばらえき
庄原駅,en,Shobara Sta
庄原駅,ko,쇼바라 역
庄原駅,zh-cn,庄原站
庄原駅,zh-tw,莊原站
帝釈ＢＳ,ja,帝釈ＢＳ
帝釈ＢＳ,ja-Hrkt,たいしやくばすすとつぷ
東城小学校前,ja,東城小学校前
東城小学校前,ja-Hrkt,とうじょうしょうがっこうまえ
東城小学校前,en,Tojo Shogakko-mae
東城小学校前,ko,도조 쇼갓코 마에
東城小学校前,zh-cn,东城小学前
東城小学校前,zh-tw,東城小學前
東城駅前,ja,東城駅前
東城駅前,ja-Hrkt,とうじょうえきまえ
東城駅前,en,Tojo Sta.
東城駅前,ko,도조 에키마에
東城駅前,zh-cn,东城站前
東城駅前,zh-tw,東城站前
備北丘陵公園,ja,備北丘陵公園
備北丘陵公園,ja-Hrkt,びほくきゆうりようこうえん
備北丘陵公園,en,Bihoku Hillside Park
備北丘陵公園,ko,비호쿠 규료 코엔
備北丘陵公園,zh-cn,备北丘陵公园
備北丘陵公園,zh-tw,備北丘陵公園
可部中央,ja,可部中央
可部中央,ja-Hrkt,かべちゅうおう
可部中央,en,Kabe-chuo
可部中央,ko,가베 추오
可部中央,zh-cn,可部中央
可部中央,zh-tw,可部中央
可部上市,ja,可部上市
可部上市,ja-Hrkt,かべかみいち
可部上市,en,Kabe Kamiichi
可部上市,ko,가베 카미이치
可部上市,zh-cn,可部上市
可部上市,zh-tw,可部上市
可部中学校前,ja,可部中学校前
可部中学校前,ja-Hrkt,かべちゅうがっこうまえ
可部中学校前,en,Kabe Chugakko-mae (Kabe Junior High School)
可部中学校前,ko,가베 중학교
可部中学校前,zh-cn,可部中学前
可部中学校前,zh-tw,可部中學前
南原口,ja,南原口
南原口,ja-Hrkt,なばらぐち
南原口,en,Nabara-guchi
南原口,ko,나바라 구치
南原口,zh-cn,南原口
南原口,zh-tw,南原口
土居橋,ja,土居橋
土居橋,ja-Hrkt,どいばし
土居橋,en,Doibashi
土居橋,ko,도이바시
土居橋,zh-cn,土居桥
土居橋,zh-tw,土居橋
