trans_id,lang,translation,category,station_sid,course_sid
千代田ＩＣ,zh-tw,千代田IC,stop_name,66aa2df5-05d3-49a5-a93b-0b7ae5bcaea9,
美土里,ja,美土里,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里,ja-Hrkt,みどりばすすとつぷ,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里,en,Midori,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里,ko,미도리,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里,zh-cn,美土里,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里,zh-tw,美土裏,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,ja,美土里ＢＳ,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,ja-Hrkt,みどりばすすとつぷ,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,en,Midori,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,ko,미도리,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,zh-cn,美土里,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
美土里ＢＳ,zh-tw,美土裏,stop_name,f3a607f0-f627-4b64-837e-6ba851d4fc3b,
高宮,ja,高宮,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮,ja-Hrkt,たかみやばすすとつぷ,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮,en,Takamiya,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮,ko,다카미야,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮,zh-cn,高宫,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮,zh-tw,高宮,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,ja,高宮ＢＳ,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,ja-Hrkt,たかみやばすすとつぷ,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,en,Takamiya,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,ko,다카미야,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,zh-cn,高宫,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
高宮ＢＳ,zh-tw,高宮,stop_name,77c433b9-7cdc-4e44-be63-1e1e85082237,
三次駅前,ja,三次駅前,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
三次駅前,ja-Hrkt,みよしえきまえ,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
三次駅前,en,Miyoshi Sta.,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
三次駅前,ko,미요시 역,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
三次駅前,zh-cn,三次站前,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
三次駅前,zh-tw,三次站前,stop_name,51937268-a99d-4e25-8441-fda7f222655c,
ＮＴＴ前,ja,ＮＴＴ前,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
ＮＴＴ前,ja-Hrkt,えぬてぃーてぃーまえ,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
ＮＴＴ前,en,NTT-mae,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
ＮＴＴ前,ko,NTT 마에,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
ＮＴＴ前,zh-cn,NTT前,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
ＮＴＴ前,zh-tw,NTT前,stop_name,6d48403f-579a-4bf9-877a-58a740bcddf8,
三次市役所,ja,三次市役所,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所,ja-Hrkt,みよししやくしょ,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所,en,Miyoshi Shiyakusho,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所,ko,미요시 시청,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所,zh-cn,三次市政府,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所,zh-tw,三次市政府,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,ja,三次市役所前,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,ja-Hrkt,みよししやくしょ,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,en,Miyoshi Shiyakusho,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,ko,미요시 시청,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,zh-cn,三次市政府,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
三次市役所前,zh-tw,三次市政府,stop_name,bd3bb131-48e7-476a-b863-be5bb61a945f,
巴橋,ja,巴橋,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
巴橋,ja-Hrkt,ともえばし,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
巴橋,en,Tomoebashi,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
