名称,X座標,Y座標,所在地
本川町 バス停,34.396685,132.450595,広島県広島市中区本川町2丁目
比治山町 バス停,34.388746,132.471546,広島県広島市南区比治山町
青崎 バス停,34.37418,132.506456,広島県広島市南区青崎1丁目
マツダ本社前 バス停,34.377967,132.504137,広島県安芸郡府中町新地
鹿籠 バス停,34.379943,132.503309,広島県安芸郡府中町青崎南
新大洲橋 バス停,34.384797,132.501166,広島県安芸郡府中町茂陰2丁目
大洲4丁目 バス停,34.38711,132.494495,広島県広島市南区大州4丁目
広島バス大洲車庫前 バス停,34.388999,132.488029,広島県広島市南区大州2丁目
南蟹屋 バス停,34.389957,132.485346,広島県広島市南区南蟹屋2丁目
猿猴橋通り バス停,34.395136,132.477087,広島県広島市南区猿猴橋町
広島駅 バス停(広島駅前 バス停),34.396867,132.474309,広島県広島市南区松原町
観音マリーナホップ バス停,34.360708,132.413374,広島県広島市西区観音新町4丁目
市民病院前 バス停,34.398049,132.458862,広島県広島市中区基町
合同庁舎前 バス停,34.398469,132.461675,広島県広島市中区上八丁堀
幟町中学校前 バス停,34.39815,132.468461,広島県広島市中区上幟町
縮景園入口 バス停,34.398489,132.466997,広島県広島市中区上幟町
幟町 バス停,34.397013,132.468448,広島県広島市中区上幟町
比治山下 バス停,34.386126,132.470389,広島県広島市南区比治山本町
バスセンター バス停,34.396037,132.457172,広島県広島市中区基町
基町 バス停,34.403595,132.457934,広島県広島市中区基町
新井口駅 バス停,34.3765,132.391855,広島県広島市西区鈴が峰町
アルパーク バス停,34.37368,132.393558,広島県広島市西区草津新町2丁目
商工センター入口 バス停,34.374825,132.392963,広島県広島市西区草津新町2丁目
サンプラザ前 バス停,34.370543,132.395017,広島県広島市西区商工センター2丁目
三滝観音 バス停,34.417963,132.44168,広島県広島市西区三滝本町2丁目
三條3丁目 バス停,34.415075,132.454423,広島県広島市西区三篠町3丁目
三條1丁目 バス停,34.411608,132.453159,広島県広島市西区三篠町1丁目
横川駅 バス停,34.409503,132.449742,広島県広島市西区横川町3丁目
横川3丁目 バス停,34.40939,132.451966,広島県広島市西区横川町3丁目
横川1丁目 バス停,34.408083,132.44989,広島県広島市西区横川町2丁目
別院前 バス停,34.404086,132.448935,広島県広島市中区寺町
広島県情報プラザ前 バス停,34.377172,132.453329,広島県広島市中区千田町3丁目
広島市社会福祉センター前 バス停,34.380462,132.452732,広島県広島市中区千田町1丁目
鷹の橋商店街 バス停,34.383065,132.453648,広島県広島市中区千田町1丁目
鷹の橋 バス停,34.38415,132.454007,広島県広島市中区国泰寺町2丁目
南鷹の橋 バス停,34.382513,132.454474,広島県広島市中区千田町1丁目
日赤前 バス停,34.38004,132.456239,広島県広島市中区千田町1丁目
広電前 バス停,34.377247,132.458446,広島県広島市中区千田町3丁目
皆実町2丁目 バス停,34.377129,132.465967,広島県広島市南区皆実町3丁目
東警察署前 バス停,34.385355,132.461563,広島県広島市中区富士見町
宝町北 バス停,34.386269,132.463188,広島県広島市中区宝町
御幸4丁目 バス停,34.36004,132.462147,広島県広島市南区宇品御幸4丁目
御幸5丁目 バス停,34.358179,132.461974,広島県広島市南区宇品御幸4丁目
海岸2丁目 バス停,34.356457,132.461893,広島県広島市南区宇品御幸5丁目
宇品町 バス停,34.35508,132.458575,広島県広島市南区宇品海岸1丁目
広島プリンスホテル バス停,34.343447,132.463714,広島県広島市南区元宇品町
広島港桟橋 バス停,34.352866,132.45537,広島県広島市南区宇品海岸1丁目
宇品西6丁目 バス停,34.356226,132.458486,広島県広島市南区宇品西4丁目
宇品西4丁目 バス停,34.358933,132.458709,広島県広島市南区宇品西4丁目
宇品西3丁目 バス停,34.360852,132.458915,広島県広島市南区宇品西3丁目
ベイシティ宇品 バス停,34.362869,132.459095,広島県広島市南区宇品西3丁目
安佐北区民文化センター入口 バス停,34.522665,132.507041,広島県広島市安佐北区可部6丁目
中緑井 バス停,34.466322,132.477074,広島県広島市安佐南区緑井1丁目
吉島営業所 バス停,34.360497,132.441761,広島県広島市中区南吉島2丁目
加古町(広島市文化交流会館前) バス停,34.388832,132.44941,広島県広島市中区加古町
平和記念公園 バス停,34.390849,132.452019,広島県広島市中区中島町
NHK放送会館前 バス停,34.389999,132.455276,広島県広島市中区大手町3丁目
千田廟公園前 バス停,34.370141,132.463156,広島県広島市南区宇品御幸1丁目
御幸1丁目 バス停,34.368564,132.462907,広島県広島市南区宇品御幸1丁目
御幸2丁目 バス停,34.366173,132.4627,広島県広島市南区宇品御幸2丁目
御幸2丁目南 バス停,34.364178,132.462523,広島県広島市南区宇品御幸2丁目
御幸3丁目 バス停,34.362163,132.462326,広島県広島市南区宇品御幸3丁目
広域公園テニスコート(花の季台入口) バス停,34.447644,132.390227,広島県広島市安佐南区大塚西6丁目
大塚駅 バス停,34.441615,132.40264,広島県広島市安佐南区沼田町大塚
安東駅 バス停,34.47493,132.453213,広島県広島市安佐南区安東2丁目
大町駅 バス停,34.461352,132.470444,広島県広島市安佐南区大町東2丁目
下大林 バス停,34.549674,132.538978,広島県広島市安佐北区大林1丁目
ガラスの里(上りのみ) バス停,34.548988,132.53816,広島県広島市安佐北区大林2丁目
東区スポーツセンター入口 バス停,34.416381,132.465203,広島県広島市東区牛田新町1丁目
安佐北区スポーツセンター入口 バス停,34.497348,132.516902,広島県広島市安佐北区可部南2丁目
安佐動物公園 バス停,34.496049,132.442665,広島県広島市安佐北区安佐町動物園
上安 バス停,34.474203,132.441017,広島県広島市安佐南区上安2丁目
長楽寺 バス停,34.471914,132.433713,広島県広島市安佐南区長楽寺1丁目
薬師ヶ丘入口 バス停,34.38994,132.350259,広島県広島市佐伯区薬師が丘1丁目
湯来ロッジ前 バス停,34.474207,132.239744,広島県広島市佐伯区湯来町多田
湯来温泉 バス停,34.47508,132.242344,広島県広島市佐伯区湯来町多田
大橋 バス停,34.487685,132.273266,広島県広島市佐伯区湯来町和田
五日市駅南口 バス停,34.366239,132.367857,広島県広島市佐伯区旭園
広域公園前駅(広島修道大学入口) バス停,34.43525,132.40018,広島県広島市安佐南区大塚西4丁目
佐伯区民文化センター前 バス停,34.380361,132.359515,広島県広島市佐伯区五日市中央6丁目
長楽寺駅 バス停,34.472931,132.431321,広島県広島市安佐南区長楽寺1丁目
上安駅 バス停,34.475615,132.444464,広島県広島市安佐南区上安2丁目
呉駅前 バス停,34.24508,132.557876,広島県呉市西中央1丁目
絵下山入口 バス停,34.320427,132.551189,広島県広島市安芸区矢野町
植物公園,34.388611,132.348431,広島県広島市佐伯区倉重3丁目
観音新町三丁目 バス停,34.374121,132.422665,
飛行場南 バス停,34.368936,132.417977,
山陽学園前(運輸支局前) バス停,34.366031,132.415123,
南観音三丁目 バス停,34.384286,132.429687,
南観音小学校前 バス停,34.381541,132.428443,
南観音七丁目 バス停,34.380275,132.427858,
西税務署前 バス停,34.378136,132.426555,
総合グランド入口 バス停,34.376919,132.425439,
観音本町 バス停,34.38823,132.437047,
西観音橋西 バス停,34.387624,132.438973,
旭橋入口 バス停,34.387398,132.431661,
渕崎 バス停,34.370492,132.49869,
柞木 バス停,34.366735,132.499331,
仁保四丁目 バス停,34.362278,132.497309,
日宇那町 バス停,34.361269,132.491257,
楠那町 バス停,34.361669,132.487983,
仁保車庫前 バス停,34.361756,132.484828,
新観音橋東 バス停,34.386725,132.441811,
舟入本町 バス停,34.385809,132.445137,
仁保一丁目 バス停,34.373519,132.493921,
地方 バス停,34.373003,132.495809,
段原四丁目 バス停,34.389271,132.480167,
上東雲町 バス停,34.387509,132.484099,
段原中学校 バス停,34.385689,132.481454,
比治山小学校前 バス停,34.384051,132.484458,
東雲本町一丁目 バス停,34.38271,132.48507,
比治山小学校裏 バス停,34.384746,132.487006,
東雲一丁目 バス停,34.38302,132.487768,
東雲二丁目 バス停,34.38047,132.488916,
本浦入口 バス停,34.377375,132.487666,
東雲本町三丁目 バス停,34.378885,132.486856,
市立工業高校前 バス停,34.378256,132.48993,
邇保姫神社入口 バス停,34.376002,132.489034,
東本浦 バス停,34.375374,132.492381,
本浦本町 バス停,34.374986,132.490252,
牛田東1丁目 バス停,34.410472,132.478665,
牛田東2丁目 バス停,34.410813,132.481497,
女学院大学前 バス停,34.411282,132.483149,
早稲田団地郵便局前 バス停,34.414637,132.482108,
牛田早稲田3丁目 バス停,34.416487,132.482511,
牛田早稲田団地 バス停,34.416535,132.483407,
旭ヶ丘団地入口 バス停,34.372164,132.49148,
ニュー旭ヶ丘 バス停,34.368559,132.493846,
仁保南1番 バス停,34.363999,132.497311,
仁保南2番 バス停,34.36317,132.495461,
仁保南3番 バス停,34.364716,132.495342,
仁保南4番 バス停,34.366089,132.495235,
牛田本町1丁目 バス停,34.408729,132.471659,
牛田南 バス停,34.408472,132.472957,
牛田本町 バス停,34.411645,132.469727,
江波西1丁目 バス停,34.369835,132.435057,
江波南1丁目 バス停,34.367116,132.437868,
江波東2丁目 バス停,34.369511,132.439488,
江波東1丁目 バス停,34.372385,132.440432,
舟入南4丁目 バス停,34.37544,132.441795,
舟入南 バス停,34.374652,132.437047,
舟入川口町 バス停,34.381138,132.440014,
舟入南1丁目 バス停,34.378154,132.442798,
舟入小学校前 バス停,34.378265,132.438667,
新住吉橋 バス停,34.384609,132.445931,
舟入幸町 バス停,34.384219,132.442031,
白島九軒町 バス停,34.40793,132.466152,
神田橋 バス停,34.40887,132.469566,
牛田大橋 バス停,34.410446,132.468252,
中広中学校前 バス停,34.406405,132.445046,
横川新町 バス停,34.408313,132.446837,
向洋新町三丁目 バス停,34.363529,132.507525,
向洋新町 バス停,34.362055,132.504897,
向洋新町車庫 バス停,34.361213,132.503529,
中広三丁目 バス停,34.404502,132.443415,
中広二丁目 バス停,34.402816,132.442219,
中広一丁目 バス停,34.400576,132.440979,
上天満町 バス停,34.398549,132.441108,
西十日市 バス停,34.397995,132.443973,
大学病院南門 バス停,34.378101,132.480821,
皿山公園下 バス停,34.368783,132.432812,
二本松1丁目 バス停,34.370012,132.430213,
江波西2丁目 バス停,34.367745,132.430208,
江波栄町 バス停,34.365748,132.430621,
江波トンネル北 バス停,34.365936,132.432675,
大上 バス停,34.428656,132.491582,
百田団地 バス停,34.425903,132.492676,
戸坂南二丁目 バス停,34.424461,132.494216,
戸坂中学校 バス停,34.423602,132.498513,
中山新町二丁目 バス停,34.421753,132.499151,
東浄小学校前 バス停,34.420399,132.499768,
己斐 バス停,34.397872,132.428416,
堀越三丁目 バス停,34.369153,132.510577,
向洋新町一丁目 バス停,34.366323,132.51105,
向洋新町二丁目 バス停,34.364393,132.509328,
桜ヶ丘団地入口 バス停,34.432412,132.488331,
戸坂小学校 バス停,34.435704,132.486845,
広島城北学園入口 バス停,34.430412,132.490134,
下千足 バス停,34.437978,132.481768,
千足 バス停,34.437363,132.484893,
グランドプリンスホテル広島 バス停,34.343467,132.463617,
修道大学キャンパス バス停,34.43347,132.402892,
砂谷酪農入口 バス停,34.441305,132.291291,
市立大学前 バス停,34.438624,132.413063,
県病院前 バス停,34.367634,132.466455,広島県広島市南区翠5丁目
牛田本町6丁目 バス停,34.414672,132.468381,
東区スポーツセンター前 バス停,34.416066,132.466573,
牛田新町一丁目 バス停,34.421671,132.465101,
牛田新町二丁目 バス停,34.424563,132.466568,
牛田新町四丁目 バス停,34.428651,132.471546,
天水 バス停,34.433142,132.476186,
広島ゴルフ場 バス停,34.435558,132.478949,
元宇品 バス停,34.344499,132.463199,
シーサイド病院入口 バス停,34.351063,132.459677,
元宇品小学校下 バス停,34.349889,132.462534,
郵便局前 バス停,34.347241,132.462603,
元宇品北 バス停,34.345903,132.462898,
宇品町 バス停,34.362856,132.459074,
広島港桟橋 バス停,34.352812,132.455072,
元宇品口 バス停,34.352695,132.459825,
八丁堀バス停(モーツアルト前),34.3927663,132.4630833,広島県広島市中区八丁堀
八丁堀バス停(福屋前),34.3947619,132.4606237,広島県広島市中区八丁堀
八丁堀バス停(広島信用金庫前),34.3940514,132.4619434,広島県広島市中区八丁堀
八丁堀バス停(りそな銀行前),34.394441,132.4605164,広島県広島市中区八丁堀
八丁堀バス停(あおぞら銀行前),34.3947619,132.4606237,広島県広島市中区八丁堀
八丁堀バス停(東京スター銀行前),34.3937208,132.4643352,広島県広島市中区八丁堀
八丁堀バス停(賀茂鶴オアシス前),34.3936669,132.4647372,広島県広島市中区八丁堀
八丁堀バス停(東急ハンズ前),34.3943682,132.4619048,広島県広島市中区八丁堀
八丁堀バス停(白島通り),34.3946885,132.4636717,広島県広島市中区八丁堀
広大附属高校前 バス停,34.372088,132.464583,広島県広島市南区翠1丁目
皆実6丁目 バス停,34.37447,132.46334,
広島市社会福祉センター前 バス停,34.380492,132.452561,
広島県情報プラザ前 バス停,34.377127,132.453377,
御幸松 バス停,34.372788,132.454734,
八丁堀バス停(ヤマダ電機前),34.3932978,132.4635101,広島県広島市中区八丁堀
八丁堀バス停(福屋別館前),34.394053,132.4630625,広島県広島市中区八丁堀
八丁堀バス停(三越前),34.3934364,132.464299,広島県広島市中区八丁堀
可部上市 バス停,34.520843,132.512031,
