町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,中区,西平塚町,,989,464,525,864,419,445,125,760,655
2026,7,中区,南千田東町,,778,383,395,761,373,388,17,373,363
2026,7,中区,南千田西町,,973,423,550,951,416,535,22,538,519
2026,7,中区,十日市町一丁目,,"1,446",690,756,"1,427",680,747,19,947,931
2026,7,中区,十日市町二丁目,,"2,195","1,020","1,175","2,096",967,"1,129",99,"1,574","1,485"
2026,7,中区,西十日市町,,"1,233",554,679,"1,174",510,664,59,935,881
2026,7,中区,寺町,,392,173,219,380,169,211,12,212,203
2026,7,中区,猫屋町,,908,393,515,888,382,506,20,604,590
2026,7,中区,堺町一丁目,,"1,181",524,657,"1,161",514,647,20,766,748
2026,7,中区,堺町二丁目,,798,412,386,768,399,369,30,655,631
2026,7,中区,榎町,,"1,791",793,998,"1,731",768,963,60,"1,185","1,130"
2026,7,中区,小網町,,"1,206",561,645,"1,190",554,636,16,789,773
2026,7,中区,広瀬町,,844,395,449,827,389,438,17,570,555
2026,7,中区,広瀬北町,,"1,402",696,706,"1,268",626,642,134,878,751
2026,7,中区,河原町,,"2,163",967,"1,196","2,090",941,"1,149",73,"1,561","1,493"
2026,7,中区,土橋町,,"1,140",481,659,"1,132",480,652,8,719,711
2026,7,中区,本川町一丁目,,377,171,206,370,169,201,7,259,253
2026,7,中区,本川町二丁目,,888,408,480,847,389,458,41,570,546
2026,7,中区,本川町三丁目,,499,226,273,486,222,264,13,363,353
2026,7,中区,舟入町,,"1,312",590,722,"1,277",576,701,35,916,883
2026,7,中区,舟入本町,,"3,421","1,635","1,786","3,364","1,615","1,749",57,"2,179","2,128"
2026,7,中区,舟入中町,,"2,728","1,248","1,480","2,629","1,202","1,427",99,"1,746","1,659"
2026,7,中区,舟入幸町,,"2,627","1,213","1,414","2,606","1,202","1,404",21,"1,625","1,604"
2026,7,中区,舟入川口町,,"1,998",939,"1,059","1,953",913,"1,040",45,"1,181","1,144"
2026,7,中区,西川口町,,"1,411",680,731,"1,382",667,715,29,800,779
2026,7,中区,加古町,,"1,418",638,780,"1,400",629,771,18,768,756
2026,7,中区,吉島町,,"1,204",596,608,"1,171",583,588,33,701,669
2026,7,中区,中島町,,707,336,371,696,330,366,11,406,397
2026,7,中区,住吉町,,"2,441","1,143","1,298","2,339","1,099","1,240",102,"1,653","1,571"
2026,7,中区,羽衣町,,"1,523",726,797,"1,515",722,793,8,889,882
2026,7,中区,吉島東一丁目,,"2,484","1,176","1,308","2,454","1,156","1,298",30,"1,312","1,290"
2026,7,中区,吉島東二丁目,,"1,626",778,848,"1,606",773,833,20,720,701
2026,7,中区,吉島東三丁目,,419,213,206,408,205,203,11,246,236
