region,region_id,district_km2,total_pop,stops_a,stops_b,uncov_km2_a,uncov_km2_b,uncov_pop_a,uncov_pop_b,area_overstated_km2,pop_overstated,pop_overstated_pct
남현동,11210630,3.2785714883746366,18409.0,9,362,2.6640144835511887,2.498685344903898,5685.0,5509.0,0.16532913864729082,176.0,3.1947721909602467
청림동,11210540,0.2969337246869572,17881.0,8,471,0.0063372574671048025,0.0,0.0,0.0,0.0063372574671048025,0.0,
