region_id,region_nm,admin_area_m2,uncovered_area_m2,uncovered_ratio,population,pop_density,bus_stop_cnt,subway_cnt,pop_norm,unc_norm,bus_sub_inv_norm,vulnerability_score,rank
11210540,청림동,296933.7246869572,0.0,0.0,14418.0,48556.28984279302,8,0.0,0.9867781223560732,0.0,0.9333333333333332,0.6336367803775043,1
11210630,남현동,3278571.4883746365,2498685.344903898,0.7621262350886331,17469.0,5328.23519692728,9,0.0,0.1041109369740006,0.8778436535448125,0.923809523809524,0.6289021577283512,2
11110640,중계4동,1518104.833670994,937959.6618326936,0.6178490714403255,18827.0,12401.646831249214,7,0.0,0.2485418716867395,0.7116601702464272,0.9428571428571428,0.6280095309808023,3
11250630,천호3동,561116.751845731,327.77378395032935,0.0005841454258354,26936.0,48004.26989819325,12,0.0,0.9755065096321996,0.0006728391324269,0.8952380952380953,0.6175677565208982,4
11200660,사당4동,435822.41007370217,92824.91411121158,0.2129879326203393,13729.0,31501.363130175618,4,0.0,0.6385361234586455,0.2453269502140297,0.9714285714285714,0.6122462428834115,5
11240540,거여2동,509222.7971223169,1492.7949231100572,0.0029315162862818,23160.0,45481.07455298569,9,0.0,0.9239857610866368,0.0033766229906473,0.923809523809524,0.6108867296026466,6
11250720,암사1동,734907.4677177044,31036.4547134405,0.0422317857373608,32998.0,44900.89085973927,13,0.0,0.9121390769895218,0.048644047902504,0.8857142857142857,0.6093441455000828,7
11150580,신월2동,606372.9592560596,123710.01388018749,0.2040163763766173,20551.0,33891.68281054847,9,0.0,0.6873437036683615,0.2349931979452132,0.923809523809524,0.6092283203896226,8
11070680,망우3동,961818.5403142516,507286.689264598,0.5274245276025288,15746.0,16371.071402777665,11,0.0,0.3295929585987097,0.6075060179838916,0.9047619047619048,0.6078140908436871,9
11250580,암사2동,2172643.194203696,1438207.70153871,0.6619622151376003,14613.0,6725.908809594435,6,1.0,0.132649825524094,0.7624712320491476,0.9428571428571428,0.606532806142027,10
11240790,잠실2동,2684789.6284340844,1532834.9187052026,0.5709329708634324,34722.0,12932.856873501769,11,0.0,0.2593885701255877,0.657620564674122,0.9047619047619048,0.6011844430553328,11
11010680,창신2동,257320.9556602877,33979.696470976145,0.1320518042682686,8456.0,32861.68426625743,1,0.0,0.6663123173733978,0.1521018867728128,1.0,0.6000766873682495,12
11020670,황학동,328391.18411194487,0.0,0.0,14012.0,42668.624122453504,7,1.0,0.8665587561963793,0.0,0.9333333333333332,0.5939643895448052,13
11160580,화곡3동,521482.5470148352,29957.177040945164,0.057446173821984,20741.0,39773.14316409895,9,0.0,0.8074363633712692,0.066168512233667,0.923809523809524,0.5931467518067719,14
11090730,삼각산동,621441.3109988387,0.0,0.0,30090.0,48419.69702921187,22,0.0,0.9839890541156726,0.0,0.8,0.588716387858172,15
11150600,신월4동,469534.5661586713,55657.84256229859,0.1185383283229673,16813.0,35807.800344817064,10,0.0,0.7264686211482151,0.1365365925344723,0.9142857142857144,0.5865060062295726,16
11210570,행운동,717700.1089041155,47244.98799615903,0.0658283138180085,29150.0,40615.85004426191,15,0.0,0.8246434691758023,0.0758233542530846,0.8666666666666667,0.5831540517315328,17
11110600,중계본동,2181556.308852928,1368270.9046229422,0.6271994443005623,22291.0,10217.934742065268,18,0.0,0.2039529809944506,0.7224302567435571,0.8380952380952381,0.5822778970249711,18
11040570,행당2동,457322.19047258806,0.0,0.0,22502.0,49203.82275075448,25,1.0,1.0,0.0,0.7619047619047619,0.5814285714285714,19
11150530,목3동,531463.9494112073,12937.118469737909,0.0243424196205039,20871.0,39270.77278359584,8,0.0,0.7971785376742619,0.0280384503143354,0.9333333333333332,0.5803216060362371,20
11210690,신림동,540769.6952988511,0.0,0.0,24445.0,45204.08634675933,17,1.0,0.9183299803123977,0.0,0.8380952380952381,0.5796203220745197,21
11040520,왕십리2동,372143.45561327465,0.0,0.0,16125.0,43330.06467472774,13,1.0,0.880064611950388,0.0,0.8761904761904762,0.5795641790864852,22
11070570,면목7동,1234524.0403690413,611312.3850833972,0.4951806243486802,20978.0,16992.783707742914,18,0.0,0.3422876092101399,0.5703663624600109,0.8380952380952381,0.5777472392225784,23
