trans_id,lang,translation
祇園出張所前,ja-Hrkt,ぎおんしゅっちょうしょまえ
祇園出張所前,en,Gion Shutchosho-mae
祇園出張所前,ko,기온 출장소
祇園出張所前,zh-cn,祇园办事处前
祇園出張所前,zh-tw,祇園辦事處前
ＮＨＫ放送所前,ja,ＮＨＫ放送所前
ＮＨＫ放送所前,ja-Hrkt,えぬえちけいほうそう
ＮＨＫ放送所前,en,NHK Hososho-mae (NHK Broadcasting Station)
ＮＨＫ放送所前,ko,NHK 방송소
ＮＨＫ放送所前,zh-cn,NHK广播站前
ＮＨＫ放送所前,zh-tw,NHK廣播站前
西原,ja,西原
西原,ja-Hrkt,にしはら
西原,en,Nishihara
西原,ko,니시하라
西原,zh-cn,西原
西原,zh-tw,西原
祇園大橋北,ja,祇園大橋北
祇園大橋北,ja-Hrkt,ぎおんおおはしきた
祇園大橋北,en,Gion-ohashi-kita
祇園大橋北,ko,기온 오하시 키타
祇園大橋北,zh-cn,祇园大桥北
祇園大橋北,zh-tw,祇園大橋北
大芝町,ja,大芝町
大芝町,ja-Hrkt,おおしばちょう
大芝町,en,Oshibacho
大芝町,ko,오시바초
大芝町,zh-cn,大芝町
大芝町,zh-tw,大芝町
三篠町三丁目,ja,三篠町三丁目
三篠町三丁目,ja-Hrkt,みささまちさんちょうめ
三篠町三丁目,en,Misasamachi-sanchome (Misasamachi 3)
三篠町三丁目,ko,미사사마치 3초메
三篠町三丁目,zh-cn,三筱町三丁目
三篠町三丁目,zh-tw,三筱町三丁目
三篠町一丁目,ja,三篠町一丁目
三篠町一丁目,ja-Hrkt,みささまちいっちょうめ
三篠町一丁目,en,Misasamachi-itchome (Misasamachi 1)
三篠町一丁目,ko,미사사마치 1초메
三篠町一丁目,zh-cn,三筱町一丁目
三篠町一丁目,zh-tw,三筱町一丁目
横川駅前,ja,横川駅前
横川駅前,ja-Hrkt,よこがわえきまえ
横川駅前,en,Yokogawa Sta.
横川駅前,ko,요코가와 역
横川駅前,zh-cn,横川站前
横川駅前,zh-tw,橫川站前
広瀬町,ja,広瀬町
広瀬町,ja-Hrkt,ひろせまち
広瀬町,en,Hirose-machi
広瀬町,ko,히로세마치
広瀬町,zh-cn,广濑町
広瀬町,zh-tw,廣瀨町
広島バスセンター,ja,広島バスセンター
広島バスセンター,ja-Hrkt,ひろしまばすせんたー
広島バスセンター,en,Hiroshima Bus Center
広島バスセンター,ko,히로시마 버스센터
広島バスセンター,zh-cn,广岛巴士中心
広島バスセンター,zh-tw,廣島公車中心
合同庁舎前,ja,合同庁舎前
合同庁舎前,ja-Hrkt,ごうどうちょうしゃまえ
合同庁舎前,en,Godochosha-mae (Joint Government Building)
合同庁舎前,ko,합동청사
合同庁舎前,zh-cn,合同政府办公楼前
合同庁舎前,zh-tw,合同政府辦公樓前
女学院前,ja,女学院前
女学院前,ja-Hrkt,じょがくいんまえ
女学院前,en,Jogakuin-mae (Jogakuin High School)
女学院前,ko,여학원
女学院前,zh-cn,女学院前
女学院前,zh-tw,女學院前
広島駅,ja,広島駅
広島駅,ja-Hrkt,ひろしまえき
広島駅,en,Hiroshima Sta.
広島駅,ko,히로시마 역
広島駅,zh-cn,广岛站
広島駅,zh-tw,廣島站
十日市,ja,十日市
十日市,ja-Hrkt,とうかいち
十日市,en,Tokaichi
十日市,ko,도카이치
十日市,zh-cn,十日市
十日市,zh-tw,十日市
本川町,ja,本川町
本川町,ja-Hrkt,ほんかわちょう
本川町,en,Honkawacho
本川町,ko,혼카와초
本川町,zh-cn,本川町
本川町,zh-tw,本川町
紙屋町,ja,紙屋町
紙屋町,ja-Hrkt,かみやちょう
紙屋町,en,Kamiyacho
紙屋町,ko,가미야초
紙屋町,zh-cn,纸屋町
紙屋町,zh-tw,紙屋町
立町,ja,立町
立町,ja-Hrkt,たてまち
立町,en,Tatemachi
立町,ko,다테마치
立町,zh-cn,立町
立町,zh-tw,立町
八丁堀,ja,八丁堀
八丁堀,ja-Hrkt,はっちょうぼり
八丁堀,en,Hatchobori
八丁堀,ko,핫초보리
八丁堀,zh-cn,八丁堀
八丁堀,zh-tw,八丁堀
別所団地,ja,別所団地
別所団地,ja-Hrkt,べっしょだんち
別所団地,en,Bessho Danchi
別所団地,ko,벳쇼 단지
別所団地,zh-cn,别所团地
別所団地,zh-tw,別所團地
城南中学校前,ja,城南中学校前
城南中学校前,ja-Hrkt,じょうなんちゅうがっ
城南中学校前,en,Jonan Chugakko-mae (Jonan Junior High School)
城南中学校前,ko,조난 중학교
城南中学校前,zh-cn,城南中学前
城南中学校前,zh-tw,城南中學前
佐東出張所口,ja,佐東出張所口
佐東出張所口,ja-Hrkt,さとうしゅっちょうし
佐東出張所口,en,Sato Shutchosho-guchi
佐東出張所口,ko,사토 슛초쇼 구치
佐東出張所口,zh-cn,佐东办事处口
佐東出張所口,zh-tw,佐東辦事處口
大宮,ja,大宮
大宮,ja-Hrkt,おおみやおおしば
大宮,en,Omiya
大宮,ko,오미야
大宮,zh-cn,大宫
大宮,zh-tw,大宮
緑井五丁目,ja,緑井五丁目
緑井五丁目,ja-Hrkt,ミドリイゴチョウメ
緑井五丁目,en,Midorii-gochome (Midorii 5)
緑井五丁目,ko,미도리이 5초메
緑井五丁目,zh-cn,绿井5丁目
緑井五丁目,zh-tw,綠井5丁目
的場町,ja,的場町
的場町,ja-Hrkt,まとばちょう
的場町,en,Matobacho
的場町,ko,마토바초
的場町,zh-cn,的场町
的場町,zh-tw,的場町
段原一丁目,ja,段原一丁目
段原一丁目,ja-Hrkt,だんばらいっちょうめ
段原一丁目,en,Dambara-itchome (Dambara 1)
段原一丁目,ko,단바라 1초메
段原一丁目,zh-cn,段原一丁目
段原一丁目,zh-tw,段原一丁目
段原中央,ja,段原中央
段原中央,ja-Hrkt,だんばらちゅうおう
