service_id,date,exception_type
4bff5596-4b04-4c23-985f-1ae1b3654734,20260908,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260908,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260908,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260908,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260908,1
c3437b83-69eb-487a-bad1-21c84562626e,20260908,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260909,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260909,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260909,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260909,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260909,1
c3437b83-69eb-487a-bad1-21c84562626e,20260909,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260910,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260910,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260910,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260910,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260910,1
c3437b83-69eb-487a-bad1-21c84562626e,20260910,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260911,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260911,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260911,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260911,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260911,1
c3437b83-69eb-487a-bad1-21c84562626e,20260911,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260914,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260914,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260914,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260914,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260914,1
c3437b83-69eb-487a-bad1-21c84562626e,20260914,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260915,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260915,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260915,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260915,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260915,1
c3437b83-69eb-487a-bad1-21c84562626e,20260915,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260916,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260916,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260916,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260916,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260916,1
c3437b83-69eb-487a-bad1-21c84562626e,20260916,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260917,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260917,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260917,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260917,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260917,1
c3437b83-69eb-487a-bad1-21c84562626e,20260917,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260918,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260918,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260918,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260918,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260918,1
c3437b83-69eb-487a-bad1-21c84562626e,20260918,1
30_平日(共通),20260921,2
30_日祝(共通),20260921,1
20_平日(共通),20260921,2
20_日祝(共通),20260921,1
60_平日(共通),20260921,2
60_日祝(共通),20260921,1
90_平日(共通),20260921,2
90_日祝(共通),20260921,1
40_平日(共通),20260921,2
40_日祝(共通),20260921,1
30_平日(共通),20260922,2
30_日祝(共通),20260922,1
20_平日(共通),20260922,2
20_日祝(共通),20260922,1
60_平日(共通),20260922,2
60_日祝(共通),20260922,1
90_平日(共通),20260922,2
90_日祝(共通),20260922,1
40_平日(共通),20260922,2
40_日祝(共通),20260922,1
30_平日(共通),20260923,2
30_日祝(共通),20260923,1
20_平日(共通),20260923,2
20_日祝(共通),20260923,1
60_平日(共通),20260923,2
60_日祝(共通),20260923,1
90_平日(共通),20260923,2
90_日祝(共通),20260923,1
40_平日(共通),20260923,2
40_日祝(共通),20260923,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260924,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260924,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260924,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260924,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260924,1
c3437b83-69eb-487a-bad1-21c84562626e,20260924,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260925,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260925,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260925,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260925,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260925,1
c3437b83-69eb-487a-bad1-21c84562626e,20260925,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260928,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260928,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260928,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260928,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260928,1
c3437b83-69eb-487a-bad1-21c84562626e,20260928,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260929,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260929,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260929,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260929,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260929,1
c3437b83-69eb-487a-bad1-21c84562626e,20260929,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20260930,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20260930,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20260930,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20260930,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20260930,1
c3437b83-69eb-487a-bad1-21c84562626e,20260930,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20261001,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20261001,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20261001,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20261001,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20261001,1
c3437b83-69eb-487a-bad1-21c84562626e,20261001,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20261002,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20261002,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20261002,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20261002,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20261002,1
c3437b83-69eb-487a-bad1-21c84562626e,20261002,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20261005,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20261005,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20261005,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20261005,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20261005,1
c3437b83-69eb-487a-bad1-21c84562626e,20261005,1
4bff5596-4b04-4c23-985f-1ae1b3654734,20261006,1
4faf18a9-09c2-4913-b198-3951c2f37d54,20261006,1
2c957d4d-9bd5-4869-aa58-707021f751b2,20261006,1
00d1eed4-a80d-4cbb-98c3-614cc0ec985b,20261006,1
eaf33a99-e3de-45b6-8348-9fdc7430ffad,20261006,1
