station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
b05a3549-1563-4d90-afe4-1ebd00152db3,0689002@HiroshimaArea,,3,,可部方面,八木峠@HiroshimaArea
45dc479c-d67f-4eff-9cd0-d483a2a0745c,0688001@HiroshimaArea,,3,,広島方面,八木梅林@HiroshimaArea
707dd1af-b6db-42a0-9ce2-c6785eb75d14,0688002@HiroshimaArea,,3,,可部方面,八木梅林@HiroshimaArea
5383db75-679d-44ec-ba07-2c207faa460b,0688002@HiroshimaArea,,3,,可部方面,八木梅林@HiroshimaArea
84ee086f-6f24-4396-8183-5623e16e1bb6,0688001@HiroshimaArea,,3,,広島方面,八木梅林@HiroshimaArea
9f408acc-2723-439b-8b9d-02d5eedf519b,0688002@HiroshimaArea,,3,,可部方面,八木梅林@HiroshimaArea
e2e3e9fb-79ef-4c61-a4d0-07e091b3be38,2220001@HiroshimaArea,,3,,広島方面,梅林小学校前@HiroshimaArea
cae068fc-1f9f-40f9-a323-92693bffae13,2220002@HiroshimaArea,,3,,可部方面,梅林小学校前@HiroshimaArea
48433d94-16ab-489b-a83b-ecd88e17a06e,2220002@HiroshimaArea,,3,,可部方面,梅林小学校前@HiroshimaArea
65fe636e-31f9-46a7-bdf3-5d163783cc1c,2220001@HiroshimaArea,,3,,広島方面,梅林小学校前@HiroshimaArea
b5667f65-69ed-4039-862e-aed57a8a7872,2220002@HiroshimaArea,,3,,可部方面,梅林小学校前@HiroshimaArea
4f43797b-ff31-4669-936c-e512f5d4bd7c,0687001@HiroshimaArea,,3,,広島方面,下八木@HiroshimaArea
97f5f39b-66c8-4a2c-bff4-b2830f6abe0b,0687002@HiroshimaArea,,3,,可部方面,下八木@HiroshimaArea
a0a65206-7173-4e96-890e-9a9afe3ab5de,0687002@HiroshimaArea,,3,,可部方面,下八木@HiroshimaArea
b0615c40-5bfd-47f2-88ac-a8efd30110ff,0687001@HiroshimaArea,,3,,広島方面,下八木@HiroshimaArea
d7e077df-5858-4eaf-bec7-4f093087de7a,0687002@HiroshimaArea,,3,,可部方面,下八木@HiroshimaArea
016255bd-5bd0-4e80-8f24-3c34b18504ab,0686001@HiroshimaArea,,3,,広島方面,上緑井@HiroshimaArea
08deb1a0-55bf-4580-9df7-13d1987edaf7,0686002@HiroshimaArea,,3,,可部方面,上緑井@HiroshimaArea
68a554e9-23ff-4828-a8d7-d9d5bcc3d349,0686002@HiroshimaArea,,3,,可部方面,上緑井@HiroshimaArea
8de5273a-e72c-4585-a3d8-c2c03ee3a1b6,0686001@HiroshimaArea,,3,,広島方面,上緑井@HiroshimaArea
c2728428-b150-4dcf-8ca8-f78066875549,0686002@HiroshimaArea,,3,,可部方面,上緑井@HiroshimaArea
2bb26828-95f2-4194-a5df-e59b7615a2b1,@HiroshimaArea,,1,,,七軒茶屋@HiroshimaArea
49b10c1f-6370-4ec2-8824-29d50b6e22da,0685001@HiroshimaArea,,3,,広島方面,七軒茶屋@HiroshimaArea
6ff6c97c-0899-4de8-a145-bde417fce657,0685002@HiroshimaArea,,3,,可部方面,七軒茶屋@HiroshimaArea
7f6fce17-df4d-4038-a234-cad0ac7c3f50,0685002@HiroshimaArea,,3,,可部方面,七軒茶屋@HiroshimaArea
622a4719-e37c-4b5b-a89d-cb391c689b91,0685001@HiroshimaArea,,3,,広島方面,七軒茶屋@HiroshimaArea
e1e4aa75-dc64-4f24-9c12-d4b31440d69d,0685002@HiroshimaArea,,3,,可部方面,七軒茶屋@HiroshimaArea
00710efa-98e9-488b-a173-d48b74950147,410170@HiroshimaArea,,3,,,中緑井@HiroshimaArea
b818a847-e9e9-4ccb-addc-02261fff8ebf,0684001@HiroshimaArea,,3,,広島方面,中緑井@HiroshimaArea
97003fbc-0032-4c50-af80-c6af224cc40d,0684002@HiroshimaArea,,3,,可部方面,中緑井@HiroshimaArea
c58933d1-a1ef-467e-8efb-7eef7f687fdd,0684002@HiroshimaArea,,3,,可部方面,中緑井@HiroshimaArea
c6bdc3cc-31ec-4cea-a3bf-6ca5590659ca,0684002@HiroshimaArea,,3,,可部方面,中緑井@HiroshimaArea
76dc4517-fab3-4c2d-ab65-1b54b629ed6f,410178@HiroshimaArea,,3,,高陽・北部医療センター方面,中緑井@HiroshimaArea
60dc379d-91f9-439d-aa7e-ded749555025,2180001@HiroshimaArea,,3,,広島方面,広島インター入口@HiroshimaArea
0d174358-ff27-47df-b72f-144a4b47755d,2180002@HiroshimaArea,,3,,可部方面,広島インター入口@HiroshimaArea
7936da2a-0ab2-4a27-915f-a67dba0d7092,2180002@HiroshimaArea,,3,,可部方面,広島インター入口@HiroshimaArea
f36b5df3-1e74-48be-8df1-18b2387e68b6,2180002@HiroshimaArea,,3,,可部方面,広島インター入口@HiroshimaArea
45e698fa-b3b3-44ee-b78e-16dd29a221d7,0683001@HiroshimaArea,,3,,広島方面,下緑井@HiroshimaArea
b6910829-2fc0-42a8-bb22-35b35358f76b,0683002@HiroshimaArea,,3,,可部方面,下緑井@HiroshimaArea
4e7399f7-df43-49e4-9d0b-74f1c0e9a84a,0683002@HiroshimaArea,,3,,可部方面,下緑井@HiroshimaArea
a0367cab-8c94-41fe-8f0a-b6ccafb77082,0683002@HiroshimaArea,,3,,可部方面,下緑井@HiroshimaArea
743e002d-2906-4e89-b1dd-f62f78d7fe08,2219001@HiroshimaArea,,3,,広島方面,中須@HiroshimaArea
f5e44c50-be69-4e56-b1bd-84ac604f4844,2219002@HiroshimaArea,,3,,可部方面,中須@HiroshimaArea
a3ea2a32-9605-46ea-83bf-968ed5b077ba,2219002@HiroshimaArea,,3,,可部方面,中須@HiroshimaArea
dfd07976-7878-4e54-afe2-42a9572210c6,2219002@HiroshimaArea,,3,,可部方面,中須@HiroshimaArea
18f92083-7643-4dfd-b357-abc16b271b8d,0666001@HiroshimaArea,,3,,広島方面,古市小学校前@HiroshimaArea
45d4954d-5085-45c7-b436-e8cdbe9c988c,0666002@HiroshimaArea,,3,,可部方面,古市小学校前@HiroshimaArea
1cab0355-4400-4ed1-a890-d15085ddf990,0666002@HiroshimaArea,,3,,可部方面,古市小学校前@HiroshimaArea
5c8a945e-2c2d-492e-b9a4-d091d48cfe59,0666002@HiroshimaArea,,3,,可部方面,古市小学校前@HiroshimaArea
9675ff7d-48c5-454c-a52b-2df3589fcff3,0665001@HiroshimaArea,,3,,広島方面,下古市@HiroshimaArea
42c11002-559e-4020-ac20-379f213bf4f3,0665002@HiroshimaArea,,3,,可部方面,下古市@HiroshimaArea
f51dccb0-7c09-4eab-973a-46eba064ec08,0665001@HiroshimaArea,,3,,広島方面,下古市@HiroshimaArea
0850ea2a-f069-455f-abf3-f005d801655f,0665002@HiroshimaArea,,3,,可部方面,下古市@HiroshimaArea
163ffc6c-07a2-44f6-89e5-3110441a35ba,0665002@HiroshimaArea,,3,,可部方面,下古市@HiroshimaArea
889d1ca5-cad7-44f6-8b83-d181e23b6724,0664001@HiroshimaArea,,3,,広島方面,安佐南警察署前@HiroshimaArea
70a21a36-c150-428a-8f23-76a41abcdc0c,0664002@HiroshimaArea,,3,,可部方面,安佐南警察署前@HiroshimaArea
baabe6ef-ef66-4f51-af38-38c5f4e55c98,0664001@HiroshimaArea,,3,,広島方面,安佐南警察署前@HiroshimaArea
e6c5e6c9-8b55-498f-bf26-c94bf740454f,0664002@HiroshimaArea,,3,,可部方面,安佐南警察署前@HiroshimaArea
190c2bda-107b-4827-b339-4faa3daf9a12,0664002@HiroshimaArea,,3,,可部方面,安佐南警察署前@HiroshimaArea
e52f36a7-6b11-4d13-a3c4-bd89964eb4cc,0663001@HiroshimaArea,,3,,広島方面,今津@HiroshimaArea
5da8ea73-7018-4796-8d7a-ffe29cdd4dab,0663002@HiroshimaArea,,3,,可部方面,今津@HiroshimaArea
333a69ef-f1c7-4cf0-86cf-58f6f9ed6b3c,0663001@HiroshimaArea,,3,,広島方面,今津@HiroshimaArea
e7653004-d0ce-4993-9b7a-1904951e7696,0663002@HiroshimaArea,,3,,可部方面,今津@HiroshimaArea
d376afe3-2e80-452a-adfb-3ecfd8d3451c,0663002@HiroshimaArea,,3,,可部方面,今津@HiroshimaArea
762e547d-7234-4e88-b7d5-f72ba8d83f1b,0662001@HiroshimaArea,,3,,広島方面,祇園出張所前@HiroshimaArea
1cb7a1ca-5fb1-4918-8c7e-d9ed22a0f215,0662002@HiroshimaArea,,3,,可部方面,祇園出張所前@HiroshimaArea
49953704-61fd-490a-ac07-38dd3950c7a3,0662001@HiroshimaArea,,3,,広島方面,祇園出張所前@HiroshimaArea
538195be-1248-4b24-8d3d-3f8d4da95f5c,0662002@HiroshimaArea,,3,,可部方面,祇園出張所前@HiroshimaArea
69fd4ebd-16cf-4181-b436-ab98d550dfd6,0662002@HiroshimaArea,,3,,可部方面,祇園出張所前@HiroshimaArea
1e97523b-e730-47f6-a6a5-c712e2473c26,0661001@HiroshimaArea,,3,,広島方面,ＮＨＫ放送所前@HiroshimaArea
abe2ceff-2b80-4794-8c41-0a7ce68e9e57,0661002@HiroshimaArea,,3,,可部方面,ＮＨＫ放送所前@HiroshimaArea
b6d84fc7-cdb9-4fae-887d-1f041abded70,0661001@HiroshimaArea,,3,,広島方面,ＮＨＫ放送所前@HiroshimaArea
62390d83-c1d2-4f72-939f-8bfab3b1c8c4,0661002@HiroshimaArea,,3,,可部方面,ＮＨＫ放送所前@HiroshimaArea
a9ba67a4-8fde-4b97-ac17-0ff073d5b5be,0661002@HiroshimaArea,,3,,可部方面,ＮＨＫ放送所前@HiroshimaArea
b9715a21-6f5a-4429-9c30-395e7be44fcf,0660001@HiroshimaArea,,3,,広島方面,西原@HiroshimaArea
6b8d59ac-a15e-4614-b9ca-6cb15890eeef,0660002@HiroshimaArea,,3,,可部方面,西原@HiroshimaArea
95518568-5c3e-44fe-80f7-1f1db1c4f762,0660001@HiroshimaArea,,3,,広島方面,西原@HiroshimaArea
